dat_21,num_dat_21,dat_11,common_cats
All household members have the same ethnic group,2,All household members have the same ethnic group,All household members have the same ethnic group
Any other combination of multiple ethnic identities,5,Any other combination of multiple ethnic groups,Any other combination of multiple ethnic identities
Ethnic groups differ between generations but not within partnerships,3,Different ethnic groups between the generations only,Ethnic groups differ between generations but not within partnerships
Ethnic groups differ within partnerships,4,Different ethnic groups within partnerships (whether or not different ethnic groups between generations),Ethnic groups differ within partnerships
Ethnic groups differ within partnerships,4,Different ethnic groups within partnerships; whether or not different ethnic groups between generations,Ethnic groups differ within partnerships
One-person household,1,One person household,One-person household
