lad22cd,category,count_21,count_11,change
E09000018,5 rooms,26611,21472,5139
E09000018,6 rooms,4936,15041,-10105
E09000018,7 rooms,1783,6240,-4457
E09000018,8 rooms,899,3173,-2274
E09000018,9 or more rooms,744,2526,-1782
E09000019,1 room,3264,3320,-56
E09000019,2 rooms,29670,10921,18749
E09000019,3 rooms,32956,26028,6928
E09000019,4 rooms,16391,25333,-8942
E09000019,5 rooms,6700,14722,-8022
E09000019,6 rooms,4192,6130,-1938
E09000019,7 rooms,1953,3100,-1147
E09000019,8 rooms,770,2063,-1293
E09000019,9 or more rooms,602,1939,-1337
E09000020,1 room,6636,5249,1387
E09000020,2 rooms,15627,9181,6446
E09000020,3 rooms,19784,18429,1355
E09000020,4 rooms,10335,20428,-10093
E09000020,5 rooms,5070,10842,-5772
E09000020,6 rooms,3386,5297,-1911
E09000020,7 rooms,2061,3023,-962
E09000020,8 rooms,1417,2195,-778
E09000020,9 or more rooms,2567,3892,-1325
E09000021,1 room,1210,895,315
E09000021,2 rooms,8470,2894,5576
E09000021,3 rooms,15348,7808,7540
E09000021,4 rooms,10204,13928,-3724
E09000021,5 rooms,19208,12498,6710
E09000021,6 rooms,6174,11918,-5744
E09000021,7 rooms,2800,6685,-3885
E09000021,8 rooms,1184,3697,-2513
E09000021,9 or more rooms,1028,3316,-2288
E09000022,1 room,4913,4043,870
E09000022,2 rooms,30654,10779,19875
E09000022,3 rooms,44848,29451,15397
E09000022,4 rooms,25085,36545,-11460
E09000022,5 rooms,16065,24163,-8098
E09000022,6 rooms,6490,12038,-5548
E09000022,7 rooms,3505,5809,-2304
E09000022,8 rooms,1734,3665,-1931
E09000022,9 or more rooms,1395,3524,-2129
E09000023,1 room,4148,2453,1695
E09000023,2 rooms,24821,8243,16578
E09000023,3 rooms,37062,22907,14155
E09000023,4 rooms,23294,31264,-7970
E09000023,5 rooms,23247,23961,-714
E09000023,6 rooms,5764,15023,-9259
E09000023,7 rooms,2245,6222,-3977
E09000023,8 rooms,1000,3292,-2292
E09000023,9 or more rooms,811,2726,-1915
E09000024,1 room,1395,865,530
E09000024,2 rooms,11445,3873,7572
E09000024,3 rooms,18318,11362,6956
E09000024,4 rooms,13303,17384,-4081
E09000024,5 rooms,27610,17768,9842
E09000024,6 rooms,5298,14892,-9594
E09000024,7 rooms,2116,6218,-4102
E09000024,8 rooms,994,3144,-2150
E09000024,9 or more rooms,1250,3251,-2001
E09000025,1 room,1828,2201,-373
E09000025,2 rooms,23940,7405,16535
E09000025,3 rooms,33396,21103,12293
E09000025,4 rooms,30594,24740,5854
E09000025,5 rooms,18243,24801,-6558
E09000025,6 rooms,5513,13165,-7652
E09000025,7 rooms,1287,4696,-3409
E09000025,8 rooms,403,2131,-1728
E09000025,9 or more rooms,304,1277,-973
E09000026,1 room,1499,1149,350
E09000026,2 rooms,13239,4523,8716
E09000026,3 rooms,22134,12686,9448
E09000026,4 rooms,15376,18844,-3468
E09000026,5 rooms,37798,21215,16583
E09000026,6 rooms,8939,19640,-10701
E09000026,7 rooms,2995,10392,-7397
E09000026,8 rooms,996,6124,-5128
E09000026,9 or more rooms,737,4532,-3795
E09000027,1 room,1557,890,667
