lad22cd,category,count_21,count_11,change
E09000020,No central heating,2300,3350,-1050
E09000020,Oil central heating,335,1342,-1007
E09000020,Other central heating,5524,4566,958
E09000020,"Solid fuel (for example wood, coal) central heating",12,29,-17
E09000020,Two or more types of central heating,6352,3733,2619
E09000021,Electric (including storage heaters) central heating,7011,6154,857
E09000021,Gas central heating,51524,52623,-1099
E09000021,No central heating,1184,1943,-759
E09000021,Oil central heating,46,66,-20
E09000021,Other central heating,1086,820,266
E09000021,"Solid fuel (for example wood, coal) central heating",19,36,-17
E09000021,Two or more types of central heating,4758,1997,2761
E09000022,Electric (including storage heaters) central heating,15588,11524,4064
E09000022,Gas central heating,94104,100211,-6107
E09000022,No central heating,3517,4251,-734
E09000022,Oil central heating,159,606,-447
E09000022,Other central heating,8809,6759,2050
E09000022,"Solid fuel (for example wood, coal) central heating",24,40,-16
E09000022,Two or more types of central heating,12487,6626,5861
E09000023,Electric (including storage heaters) central heating,14400,10127,4273
E09000023,Gas central heating,88115,92440,-4325
E09000023,No central heating,2949,3780,-831
E09000023,Oil central heating,85,110,-25
E09000023,Other central heating,5629,3949,1680
E09000023,"Solid fuel (for example wood, coal) central heating",22,52,-30
E09000023,Two or more types of central heating,11191,5633,5558
E09000024,Electric (including storage heaters) central heating,7981,6259,1722
E09000024,Gas central heating,63770,65277,-1507
E09000024,No central heating,1645,2482,-837
E09000024,Oil central heating,54,113,-59
E09000024,Other central heating,1877,1612,265
E09000024,"Solid fuel (for example wood, coal) central heating",16,28,-12
E09000024,Two or more types of central heating,6386,2986,3400
E09000025,Electric (including storage heaters) central heating,17995,10699,7296
E09000025,Gas central heating,74439,77241,-2802
E09000025,No central heating,2942,2794,148
E09000025,Oil central heating,122,73,49
E09000025,Other central heating,9169,4144,5025
E09000025,"Solid fuel (for example wood, coal) central heating",38,59,-21
E09000025,Two or more types of central heating,10800,6509,4291
E09000026,Electric (including storage heaters) central heating,10362,8586,1776
E09000026,Gas central heating,80446,81724,-1278
E09000026,No central heating,2130,2417,-287
E09000026,Oil central heating,72,115,-43
E09000026,Other central heating,2719,2306,413
E09000026,"Solid fuel (for example wood, coal) central heating",19,41,-22
E09000026,Two or more types of central heating,7965,3916,4049
E09000027,Electric (including storage heaters) central heating,6212,5203,1009
E09000027,Gas central heating,65208,68408,-3200
E09000027,No central heating,1177,2055,-878
E09000027,Oil central heating,102,372,-270
E09000027,Other central heating,1737,1187,550
E09000027,"Solid fuel (for example wood, coal) central heating",18,65,-47
E09000027,Two or more types of central heating,6253,2545,3708
E09000028,Electric (including storage heaters) central heating,23096,18038,5058
E09000028,Gas central heating,74639,78974,-4335
E09000028,No central heating,4021,3904,117
E09000028,Oil central heating,121,598,-477
E09000028,Other central heating,17089,12192,4897
E09000028,"Solid fuel (for example wood, coal) central heating",20,35,-15
E09000028,Two or more types of central heating,11832,6681,5151
E09000029,Electric (including storage heaters) central heating,10432,8876,1556
E09000029,Gas central heating,62402,63114,-712
E09000029,No central heating,1461,2382,-921
E09000029,Oil central heating,40,88,-48
E09000029,Other central heating,2071,1302,769
E09000029,"Solid fuel (for example wood, coal) central heating",25,54,-29
E09000029,Two or more types of central heating,5916,2358,3558
E09000030,Electric (including storage heaters) central heating,33850,24067,9783
E09000030,Gas central heating,59124,62207,-3083
E09000030,No central heating,3690,3096,594
E09000030,Oil central heating,214,617,-403
E09000030,Other central heating,13380,5986,7394
E09000030,"Solid fuel (for example wood, coal) central heating",55,44,11
E09000030,Two or more types of central heating,10226,5240,4986
E09000031,Electric (including storage heaters) central heating,9811,7291,2520
E09000031,Gas central heating,78261,78940,-679
E09000031,No central heating,2190,3117,-927
E09000031,Oil central heating,71,122,-51
E09000031,Other central heating,4098,2806,1292
E09000031,"Solid fuel (for example wood, coal) central heating",25,53,-28
E09000031,Two or more types of central heating,8445,4532,3913
E09000032,Electric (including storage heaters) central heating,18295,12795,5500
E09000032,Gas central heating,96401,103344,-6943
E09000032,No central heating,2832,3845,-1013
E09000032,Oil central heating,169,472,-303
E09000032,Other central heating,7884,4760,3124
E09000032,"Solid fuel (for example wood, coal) central heating",13,30,-17
E09000032,Two or more types of central heating,11799,5247,6552
E09000033,Electric (including storage heaters) central heating,17561,16938,623
E09000033,Gas central heating,53991,68735,-14744
E09000033,No central heating,3680,4664,-984
E09000033,Oil central heating,446,1915,-1469
E09000033,Other central heating,10839,8863,1976
E09000033,"Solid fuel (for example wood, coal) central heating",31,48,-17
E09000033,Two or more types of central heating,8267,4609,3658
