lad22cd,category,count_21,count_11,change
E09000017,Main language is not English (English or Welsh in Wales): Cannot speak English well,9509,6877,2632
E09000018,Main language is English (English or Welsh in Wales),198853,172277,26576
E09000018,Main language is not English (English or Welsh in Wales): Can speak English very well,36348,31438,4910
E09000018,Main language is not English (English or Welsh in Wales): Can speak English well,28032,26443,1589
E09000018,Main language is not English (English or Welsh in Wales): Cannot speak English,2277,1772,505
E09000018,Main language is not English (English or Welsh in Wales): Cannot speak English well,11898,9795,2103
E09000019,Main language is English (English or Welsh in Wales),169831,159026,10805
E09000019,Main language is not English (English or Welsh in Wales): Can speak English very well,22659,19918,2741
E09000019,Main language is not English (English or Welsh in Wales): Can speak English well,10992,12857,-1865
E09000019,Main language is not English (English or Welsh in Wales): Cannot speak English,870,980,-110
E09000019,Main language is not English (English or Welsh in Wales): Cannot speak English well,5286,5648,-362
E09000020,Main language is English (English or Welsh in Wales),106682,110239,-3557
E09000020,Main language is not English (English or Welsh in Wales): Can speak English very well,20887,25888,-5001
E09000020,Main language is not English (English or Welsh in Wales): Can speak English well,8669,13158,-4489
E09000020,Main language is not English (English or Welsh in Wales): Cannot speak English,412,430,-18
E09000020,Main language is not English (English or Welsh in Wales): Cannot speak English well,2998,3300,-302
E09000021,Main language is English (English or Welsh in Wales),134395,128110,6285
E09000021,Main language is not English (English or Welsh in Wales): Can speak English very well,14243,12265,1978
E09000021,Main language is not English (English or Welsh in Wales): Can speak English well,9451,9245,206
E09000021,Main language is not English (English or Welsh in Wales): Cannot speak English,533,427,106
E09000021,Main language is not English (English or Welsh in Wales): Cannot speak English well,3880,3239,641
E09000022,Main language is English (English or Welsh in Wales),253317,231326,21991
E09000022,Main language is not English (English or Welsh in Wales): Can speak English very well,25584,25554,30
E09000022,Main language is not English (English or Welsh in Wales): Can speak English well,18080,22432,-4352
E09000022,Main language is not English (English or Welsh in Wales): Cannot speak English,1865,1562,303
E09000022,Main language is not English (English or Welsh in Wales): Cannot speak English well,9452,9206,246
E09000023,Main language is English (English or Welsh in Wales),242028,219035,22993
E09000023,Main language is not English (English or Welsh in Wales): Can speak English very well,22055,19744,2311
E09000023,Main language is not English (English or Welsh in Wales): Can speak English well,15373,15828,-455
E09000023,Main language is not English (English or Welsh in Wales): Cannot speak English,1450,1038,412
E09000023,Main language is not English (English or Welsh in Wales): Cannot speak English well,7987,6611,1376
E09000024,Main language is English (English or Welsh in Wales),162563,150367,12196
E09000024,Main language is not English (English or Welsh in Wales): Can speak English very well,20874,17654,3220
E09000024,Main language is not English (English or Welsh in Wales): Can speak English well,15867,15906,-39
E09000024,Main language is not English (English or Welsh in Wales): Cannot speak English,948,764,184
E09000024,Main language is not English (English or Welsh in Wales): Cannot speak English well,6715,5809,906
E09000025,Main language is English (English or Welsh in Wales),220022,171384,48638
E09000025,Main language is not English (English or Welsh in Wales): Can speak English very well,43497,46604,-3107
E09000025,Main language is not English (English or Welsh in Wales): Can speak English well,45802,48920,-3118
E09000025,Main language is not English (English or Welsh in Wales): Cannot speak English,3521,3815,-294
