lad22cd,category,count_21,count_11,change
E09000019,No religion,88466,61911,26555
E09000019,Not stated,16902,34138,-17236
E09000019,Other religion,2930,967,1963
E09000019,Sikh,603,569,34
E09000020,Buddhist,1606,2447,-841
E09000020,Christian,69335,86005,-16670
E09000020,Hindu,1584,1386,198
E09000020,Jewish,2681,3320,-639
E09000020,Muslim,16865,15812,1053
E09000020,No religion,35610,32669,2941
E09000020,Not stated,14311,15969,-1658
E09000020,Other religion,1064,778,286
E09000020,Sikh,319,263,56
E09000021,Buddhist,1726,1771,-45
E09000021,Christian,71670,84684,-13014
E09000021,Hindu,8456,7502,954
E09000021,Jewish,693,775,-82
E09000021,Muslim,13366,9474,3892
E09000021,No religion,57641,41183,16458
E09000021,Not stated,11966,12633,-667
E09000021,Other religion,1119,802,317
E09000021,Sikh,1428,1236,192
E09000022,Buddhist,2437,2963,-526
E09000022,Christian,138714,160944,-22230
E09000022,Hindu,3179,3119,60
E09000022,Jewish,1344,1134,210
E09000022,Muslim,25871,21500,4371
E09000022,No religion,119123,84803,34320
E09000022,Not stated,24110,26501,-2391
E09000022,Other religion,2351,1682,669
E09000022,Sikh,527,440,87
E09000023,Buddhist,3270,3664,-394
E09000023,Christian,131706,145588,-13882
E09000023,Hindu,6459,6562,-103
E09000023,Jewish,826,643,183
E09000023,Muslim,22264,17759,4505
E09000023,No religion,110379,75155,35224
E09000023,Not stated,22660,24505,-1845
E09000023,Other religion,2269,1478,791
E09000023,Sikh,720,531,189
E09000024,Buddhist,1899,1884,15
E09000024,Christian,101320,111993,-10673
E09000024,Hindu,12610,12203,407
E09000024,Jewish,754,791,-37
E09000024,Muslim,21673,16262,5411
E09000024,No religion,60224,41231,18993
E09000024,Not stated,14888,14021,867
E09000024,Other religion,1205,810,395
E09000024,Sikh,614,498,116
E09000025,Buddhist,2160,2446,-286
E09000025,Christian,123746,123119,627
E09000025,Hindu,21405,26962,-5557
E09000025,Jewish,448,342,106
E09000025,Muslim,122146,98456,23690
E09000025,No religion,50795,29373,21422
E09000025,Not stated,22933,19775,3158
E09000025,Other religion,1765,1090,675
E09000025,Sikh,5638,6421,-783
E09000026,Buddhist,1611,1840,-229
E09000026,Christian,94473,102755,-8282
E09000026,Hindu,34372,31699,2673
E09000026,Jewish,6412,10213,-3801
E09000026,Muslim,97068,64999,32069
E09000026,No religion,38999,30691,8308
E09000026,Not stated,17675,18048,-373
E09000026,Other religion,2028,1348,680
E09000026,Sikh,17622,17377,245
E09000027,Buddhist,1593,1577,16
E09000027,Christian,88556,103319,-14763
E09000027,Hindu,4184,3051,1133
E09000027,Jewish,1262,1409,-147
E09000027,Muslim,8492,6128,2364
E09000027,No religion,74076,53195,20881
E09000027,Not stated,13855,15840,-1985
E09000027,Other religion,1273,890,383
E09000027,Sikh,1987,1581,406
E09000028,Buddhist,2965,3884,-919
E09000028,Christian,133298,151462,-18164
E09000028,Hindu,3444,3668,-224
E09000028,Jewish,1243,1006,237
E09000028,Muslim,29633,24551,5082
E09000028,No religion,111935,77098,34837
E09000028,Not stated,22338,24611,-2273
E09000028,Other religion,2149,1350,799
E09000028,Sikh,632,653,-21
E09000029,Buddhist,1822,1368,454
E09000029,Christian,95960,111086,-15126
E09000029,Hindu,14666,8038,6628
E09000029,Jewish,407,486,-79
E09000029,Muslim,14736,7726,7010
E09000029,No religion,67769,46817,20952
E09000029,Not stated,12589,13504,-915
E09000029,Other religion,1244,796,448
E09000029,Sikh,447,325,122
E09000030,Buddhist,2961,2992.99477971802,-31.9947797180198
E09000030,Christian,69223,75714.1723995359,-6491.17239953591
E09000030,Hindu,6298,4626.13846799998,1671.86153200002
E09000030,Jewish,1341,1412.746431106,-71.7464311060001
E09000030,Muslim,123912,96536.2034357281,27375.7965642719
E09000030,No religion,82635,53435.315460168,29199.684539832
E09000030,Not stated,21318,17576.681405644,3741.318594356
E09000030,Other religion,1652,897.016844624996,754.983155375004
E09000030,Sikh,966,904.730748194998,61.269251805002
E09000031,Buddhist,1834,1987,-153
E09000031,Christian,108630,124939,-16309
E09000031,Hindu,5155,5917,-762
E09000031,Jewish,1268,1259,9
E09000031,Muslim,60157,56541,3616
E09000031,No religion,77739,46462,31277
E09000031,Not stated,19548,18942,606
E09000031,Other religion,2810,993,1817
E09000031,Sikh,1285,1209,76
E09000032,Buddhist,2275,2574,-299
E09000032,Christian,139656,162590,-22934
E09000032,Hindu,6419,6496,-77
E09000032,Jewish,1756,1617,139
E09000032,Muslim,32519,24746,7773
E09000032,No religion,118543,82740,35803
E09000032,Not stated,23500,24117,-617
E09000032,Other religion,1871,1283,588
E09000032,Sikh,967,832,135
E09000033,Buddhist,2603,3194,-591
E09000033,Christian,76245,97877,-21632
E09000033,Hindu,4457,4178,279
E09000033,Jewish,5628,7237,-1609
E09000033,Muslim,40873,40073,800
E09000033,No religion,52936,44542,8394
E09000033,Not stated,19179,20519,-1340
E09000033,Other religion,1741,1280,461
E09000033,Sikh,573,496,77
