lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000019,Household is deprived in three dimensions,33
E09000002,Barking and Dagenham,E01000019,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000020,Household is not deprived in any dimension,230
E09000002,Barking and Dagenham,E01000020,Household is deprived in one dimension,223
E09000002,Barking and Dagenham,E01000020,Household is deprived in two dimensions,138
E09000002,Barking and Dagenham,E01000020,Household is deprived in three dimensions,68
E09000002,Barking and Dagenham,E01000020,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000021,Household is not deprived in any dimension,202
E09000002,Barking and Dagenham,E01000021,Household is deprived in one dimension,220
E09000002,Barking and Dagenham,E01000021,Household is deprived in two dimensions,127
E09000002,Barking and Dagenham,E01000021,Household is deprived in three dimensions,34
E09000002,Barking and Dagenham,E01000021,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000022,Household is not deprived in any dimension,198
E09000002,Barking and Dagenham,E01000022,Household is deprived in one dimension,168
E09000002,Barking and Dagenham,E01000022,Household is deprived in two dimensions,91
E09000002,Barking and Dagenham,E01000022,Household is deprived in three dimensions,23
E09000002,Barking and Dagenham,E01000022,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000024,Household is not deprived in any dimension,164
E09000002,Barking and Dagenham,E01000024,Household is deprived in one dimension,163
E09000002,Barking and Dagenham,E01000024,Household is deprived in two dimensions,109
E09000002,Barking and Dagenham,E01000024,Household is deprived in three dimensions,25
E09000002,Barking and Dagenham,E01000024,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000025,Household is not deprived in any dimension,219
E09000002,Barking and Dagenham,E01000025,Household is deprived in one dimension,293
E09000002,Barking and Dagenham,E01000025,Household is deprived in two dimensions,133
E09000002,Barking and Dagenham,E01000025,Household is deprived in three dimensions,49
E09000002,Barking and Dagenham,E01000025,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000027,Household is not deprived in any dimension,202
E09000002,Barking and Dagenham,E01000027,Household is deprived in one dimension,233
E09000002,Barking and Dagenham,E01000027,Household is deprived in two dimensions,166
E09000002,Barking and Dagenham,E01000027,Household is deprived in three dimensions,49
E09000002,Barking and Dagenham,E01000027,Household is deprived in four dimensions,12
E09000002,Barking and Dagenham,E01000028,Household is not deprived in any dimension,185
E09000002,Barking and Dagenham,E01000028,Household is deprived in one dimension,243
E09000002,Barking and Dagenham,E01000028,Household is deprived in two dimensions,147
E09000002,Barking and Dagenham,E01000028,Household is deprived in three dimensions,39
E09000002,Barking and Dagenham,E01000028,Household is deprived in four dimensions,6
E09000002,Barking and Dagenham,E01000029,Household is not deprived in any dimension,283
E09000002,Barking and Dagenham,E01000029,Household is deprived in one dimension,259
E09000002,Barking and Dagenham,E01000029,Household is deprived in two dimensions,119
E09000002,Barking and Dagenham,E01000029,Household is deprived in three dimensions,17
E09000002,Barking and Dagenham,E01000029,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000030,Household is not deprived in any dimension,283
E09000002,Barking and Dagenham,E01000030,Household is deprived in one dimension,350
E09000002,Barking and Dagenham,E01000030,Household is deprived in two dimensions,176
E09000002,Barking and Dagenham,E01000030,Household is deprived in three dimensions,87
E09000002,Barking and Dagenham,E01000030,Household is deprived in four dimensions,5
E09000002,Barking and Dagenham,E01000031,Household is not deprived in any dimension,258
E09000002,Barking and Dagenham,E01000031,Household is deprived in one dimension,216
E09000002,Barking and Dagenham,E01000031,Household is deprived in two dimensions,103
