dat_21,num_dat_21,dat_11,common_cats
Middle East and Asia: South-East Asia: Other South-East Asia,39,Middle East and Asia: South-East Asia: Other South-East Asia,Middle East and Asia: South-East Asia: Other South-East Asia
Middle East and Asia: South-East Asia: Malaysia,36,Middle East and Asia: South East Asia: Malaysia,Middle East and Asia: South-East Asia: Malaysia
Middle East and Asia: South-East Asia: Philippines,37,Middle East and Asia: South East Asia: Philippines,Middle East and Asia: South-East Asia: Philippines
Middle East and Asia: South-East Asia: Singapore,38,Middle East and Asia: South East Asia: Singapore,Middle East and Asia: South-East Asia: Singapore
Middle East and Asia: South-East Asia: Other South-East Asia,39,Middle East and Asia: South East Asia: Other South East Asia,Middle East and Asia: South-East Asia: Other South-East Asia
Middle East and Asia: Central Asia,40,Middle East and Asia: Central Asia,Middle East and Asia: Central Asia
The Americas and the Caribbean: North America: Canada,41,The Americas and the Caribbean: North America: Canada,The Americas and the Caribbean: North America: Canada
The Americas and the Caribbean: North America: United States,42,The Americas and the Caribbean: North America: United States,The Americas and the Caribbean: North America: United States
The Americas and the Caribbean: Central America,43,The Americas and the Caribbean: Central America,The Americas and the Caribbean: Central America
The Americas and the Caribbean: South America,44,The Americas and the Caribbean: South America,The Americas and the Caribbean: South America
The Americas and the Caribbean: The Caribbean: Jamaica,45,The Americas and the Caribbean: The Caribbean: Jamaica,The Americas and the Caribbean: The Caribbean: Jamaica
The Americas and the Caribbean: The Caribbean: Other Caribbean,46,The Americas and the Caribbean: The Caribbean: Other Caribbean,The Americas and the Caribbean: The Caribbean: Other Caribbean
Antarctica and Oceania: Australasia: Australia,47,Antarctica and Oceania: Australasia: Australia,Antarctica and Oceania: Australasia: Australia
Antarctica and Oceania: Australasia: New Zealand,48,Antarctica and Oceania: Australasia: New Zealand,Antarctica and Oceania: Australasia: New Zealand
Antarctica and Oceania: Other Antarctica and Oceania,49,Antarctica and Oceania: Other Oceania,Antarctica and Oceania: Other Antarctica and Oceania
British Overseas Territories,50,British Overseas Territories,British Overseas Territories
No passport held,51,No passport held,No passport held
