dat_21,num_dat_21,dat_11,common_cats
1 person in household,1,1 person in household,1 person in household
2 people in household,2,2 people in household,2 people in household
3 people in household,3,3 people in household,3 people in household
4 people in household,4,4 people in household,4 people in household
5 people in household,5,5 people in household,5 people in household
6 people in household,6,6 people in household,6 people in household
7 people in household,7,7 people in household,7 people in household
8 or more people in household,8,8 or more people in household,8 or more people in household
