lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000002,Barking and Dagenham,E01000012,Private rented: Other private rented,19,8,11
E09000002,Barking and Dagenham,E01000012,Private rented: Private landlord or letting agency,313,320,-7
E09000002,Barking and Dagenham,E01000012,Shared ownership: Shared ownership,29,5,24
E09000002,Barking and Dagenham,E01000012,Social rented: Other social rented,153,95,58
E09000002,Barking and Dagenham,E01000012,Social rented: Rents from council or Local Authority,69,59,10
E09000002,Barking and Dagenham,E01000013,Lives rent free,1,6,-5
E09000002,Barking and Dagenham,E01000013,Owned: Owns outright,88,142,-54
E09000002,Barking and Dagenham,E01000013,Owned: Owns with a mortgage or loan,168,213,-45
E09000002,Barking and Dagenham,E01000013,Private rented: Other private rented,23,6,17
E09000002,Barking and Dagenham,E01000013,Private rented: Private landlord or letting agency,150,113,37
E09000002,Barking and Dagenham,E01000013,Shared ownership: Shared ownership,3,2,1
E09000002,Barking and Dagenham,E01000013,Social rented: Other social rented,23,37,-14
E09000002,Barking and Dagenham,E01000013,Social rented: Rents from council or Local Authority,167,254,-87
E09000002,Barking and Dagenham,E01000014,Lives rent free,2,3,-1
E09000002,Barking and Dagenham,E01000014,Owned: Owns outright,112,88,24
E09000002,Barking and Dagenham,E01000014,Owned: Owns with a mortgage or loan,174,144,30
E09000002,Barking and Dagenham,E01000014,Private rented: Other private rented,8,4,4
E09000002,Barking and Dagenham,E01000014,Private rented: Private landlord or letting agency,118,72,46
E09000002,Barking and Dagenham,E01000014,Shared ownership: Shared ownership,4,1,3
E09000002,Barking and Dagenham,E01000014,Social rented: Other social rented,34,9,25
E09000002,Barking and Dagenham,E01000014,Social rented: Rents from council or Local Authority,181,194,-13
E09000002,Barking and Dagenham,E01000015,Lives rent free,2,6,-4
E09000002,Barking and Dagenham,E01000015,Owned: Owns outright,93,83,10
E09000002,Barking and Dagenham,E01000015,Owned: Owns with a mortgage or loan,227,222,5
E09000002,Barking and Dagenham,E01000015,Private rented: Other private rented,20,13,7
E09000002,Barking and Dagenham,E01000015,Private rented: Private landlord or letting agency,203,193,10
E09000002,Barking and Dagenham,E01000015,Shared ownership: Shared ownership,32,50,-18
E09000002,Barking and Dagenham,E01000015,Social rented: Other social rented,47,55,-8
E09000002,Barking and Dagenham,E01000015,Social rented: Rents from council or Local Authority,215,214,1
E09000002,Barking and Dagenham,E01000016,Lives rent free,0,5,-5
E09000002,Barking and Dagenham,E01000016,Owned: Owns outright,110,95,15
E09000002,Barking and Dagenham,E01000016,Owned: Owns with a mortgage or loan,203,209,-6
E09000002,Barking and Dagenham,E01000016,Private rented: Other private rented,10,9,1
