lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000002,Barking and Dagenham,E01000014,Oil central heating,0,0,0
E09000002,Barking and Dagenham,E01000014,Other central heating,33,20,13
E09000002,Barking and Dagenham,E01000014,"Solid fuel (for example wood, coal) central heating",1,2,-1
E09000002,Barking and Dagenham,E01000014,Two or more types of central heating,55,26,29
E09000002,Barking and Dagenham,E01000015,Electric (including storage heaters) central heating,46,15,31
E09000002,Barking and Dagenham,E01000015,Gas central heating,667,724,-57
E09000002,Barking and Dagenham,E01000015,No central heating,18,18,0
E09000002,Barking and Dagenham,E01000015,Oil central heating,0,0,0
E09000002,Barking and Dagenham,E01000015,Other central heating,29,22,7
E09000002,Barking and Dagenham,E01000015,"Solid fuel (for example wood, coal) central heating",0,1,-1
E09000002,Barking and Dagenham,E01000015,Two or more types of central heating,72,56,16
E09000002,Barking and Dagenham,E01000016,Electric (including storage heaters) central heating,30,31,-1
E09000002,Barking and Dagenham,E01000016,Gas central heating,517,534,-17
E09000002,Barking and Dagenham,E01000016,No central heating,8,16,-8
E09000002,Barking and Dagenham,E01000016,Oil central heating,0,0,0
E09000002,Barking and Dagenham,E01000016,Other central heating,14,14,0
E09000002,Barking and Dagenham,E01000016,"Solid fuel (for example wood, coal) central heating",3,3,0
E09000002,Barking and Dagenham,E01000016,Two or more types of central heating,55,28,27
E09000002,Barking and Dagenham,E01000017,Electric (including storage heaters) central heating,44,41,3
E09000002,Barking and Dagenham,E01000017,Gas central heating,465,512,-47
E09000002,Barking and Dagenham,E01000017,No central heating,14,14,0
E09000002,Barking and Dagenham,E01000017,Oil central heating,0,0,0
E09000002,Barking and Dagenham,E01000017,Other central heating,20,11,9
E09000002,Barking and Dagenham,E01000017,"Solid fuel (for example wood, coal) central heating",0,0,0
E09000002,Barking and Dagenham,E01000017,Two or more types of central heating,51,31,20
E09000002,Barking and Dagenham,E01000018,Electric (including storage heaters) central heating,22,19,3
E09000002,Barking and Dagenham,E01000018,Gas central heating,553,542,11
E09000002,Barking and Dagenham,E01000018,No central heating,7,12,-5
E09000002,Barking and Dagenham,E01000018,Oil central heating,0,0,0
E09000002,Barking and Dagenham,E01000018,Other central heating,13,15,-2
E09000002,Barking and Dagenham,E01000018,"Solid fuel (for example wood, coal) central heating",0,2,-2
