lad22cd,lad22nm,category,count_21
E09000009,Ealing,Not living in a couple: Single (never married and never registered a same-sex civil partnership),97381
E09000009,Ealing,Not living in a couple: Married or in a registered civil partnership,12072
E09000009,Ealing,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),5406
E09000009,Ealing,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,17177
E09000009,Ealing,Not living in a couple: Widowed or surviving partner from a civil partnership,12306
E09000010,Enfield,Living in an opposite-sex couple: Married or in a civil partnership,101542
E09000010,Enfield,Living in a same-sex couple: Married or in a civil partnership,475
E09000010,Enfield,"Living in a couple: Separated, but still married or in a civil partnership",563
E09000010,Enfield,Living in an opposite-sex couple: Cohabiting,21332
E09000010,Enfield,Living in a same-sex couple: Cohabiting,1185
E09000010,Enfield,Not living in a couple: Single (never married and never registered a same-sex civil partnership),86668
E09000010,Enfield,Not living in a couple: Married or in a registered civil partnership,6825
E09000010,Enfield,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),6443
E09000010,Enfield,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,18053
E09000010,Enfield,Not living in a couple: Widowed or surviving partner from a civil partnership,12222
E09000011,Greenwich,Living in an opposite-sex couple: Married or in a civil partnership,78228
E09000011,Greenwich,Living in a same-sex couple: Married or in a civil partnership,1214
E09000011,Greenwich,"Living in a couple: Separated, but still married or in a civil partnership",347
E09000011,Greenwich,Living in an opposite-sex couple: Cohabiting,30034
E09000011,Greenwich,Living in a same-sex couple: Cohabiting,2496
E09000011,Greenwich,Not living in a couple: Single (never married and never registered a same-sex civil partnership),77771
E09000011,Greenwich,Not living in a couple: Married or in a registered civil partnership,6188
E09000011,Greenwich,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),5670
E09000011,Greenwich,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,14951
E09000011,Greenwich,Not living in a couple: Widowed or surviving partner from a civil partnership,8444
E09000012,Hackney,Living in an opposite-sex couple: Married or in a civil partnership,49743
E09000012,Hackney,Living in a same-sex couple: Married or in a civil partnership,1389
E09000012,Hackney,"Living in a couple: Separated, but still married or in a civil partnership",330
E09000012,Hackney,Living in an opposite-sex couple: Cohabiting,29430
E09000012,Hackney,Living in a same-sex couple: Cohabiting,3030
E09000012,Hackney,Not living in a couple: Single (never married and never registered a same-sex civil partnership),95506
E09000012,Hackney,Not living in a couple: Married or in a registered civil partnership,4513
E09000012,Hackney,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),5171
E09000012,Hackney,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,12346
E09000012,Hackney,Not living in a couple: Widowed or surviving partner from a civil partnership,5684
E09000013,Hammersmith and Fulham,Living in an opposite-sex couple: Married or in a civil partnership,42621
E09000013,Hammersmith and Fulham,Living in a same-sex couple: Married or in a civil partnership,950
E09000013,Hammersmith and Fulham,"Living in a couple: Separated, but still married or in a civil partnership",175
E09000013,Hammersmith and Fulham,Living in an opposite-sex couple: Cohabiting,19560
E09000013,Hammersmith and Fulham,Living in a same-sex couple: Cohabiting,1526
E09000013,Hammersmith and Fulham,Not living in a couple: Single (never married and never registered a same-sex civil partnership),66742
E09000013,Hammersmith and Fulham,Not living in a couple: Married or in a registered civil partnership,3411
E09000013,Hammersmith and Fulham,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),2927
E09000013,Hammersmith and Fulham,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,9606
E09000013,Hammersmith and Fulham,Not living in a couple: Widowed or surviving partner from a civil partnership,4552
E09000014,Haringey,Living in an opposite-sex couple: Married or in a civil partnership,64292
E09000014,Haringey,Living in a same-sex couple: Married or in a civil partnership,1113
E09000014,Haringey,"Living in a couple: Separated, but still married or in a civil partnership",399
E09000014,Haringey,Living in an opposite-sex couple: Cohabiting,26925
E09000014,Haringey,Living in a same-sex couple: Cohabiting,2487
E09000014,Haringey,Not living in a couple: Single (never married and never registered a same-sex civil partnership),85106
E09000014,Haringey,Not living in a couple: Married or in a registered civil partnership,6161
E09000014,Haringey,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),5092
E09000014,Haringey,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,14907
E09000014,Haringey,Not living in a couple: Widowed or surviving partner from a civil partnership,7361
E09000015,Harrow,Living in an opposite-sex couple: Married or in a civil partnership,103328
E09000015,Harrow,Living in a same-sex couple: Married or in a civil partnership,248
E09000015,Harrow,"Living in a couple: Separated, but still married or in a civil partnership",310
E09000015,Harrow,Living in an opposite-sex couple: Cohabiting,12424
E09000015,Harrow,Living in a same-sex couple: Cohabiting,653
E09000015,Harrow,Not living in a couple: Single (never married and never registered a same-sex civil partnership),58717
E09000015,Harrow,Not living in a couple: Married or in a registered civil partnership,8061
E09000015,Harrow,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),3211
E09000015,Harrow,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,9917
E09000015,Harrow,Not living in a couple: Widowed or surviving partner from a civil partnership,10881
E09000016,Havering,Living in an opposite-sex couple: Married or in a civil partnership,93658
E09000016,Havering,Living in a same-sex couple: Married or in a civil partnership,318
E09000016,Havering,"Living in a couple: Separated, but still married or in a civil partnership",266
E09000016,Havering,Living in an opposite-sex couple: Cohabiting,24302
E09000016,Havering,Living in a same-sex couple: Cohabiting,974
E09000016,Havering,Not living in a couple: Single (never married and never registered a same-sex civil partnership),57548
E09000016,Havering,Not living in a couple: Married or in a registered civil partnership,3370
E09000016,Havering,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),3279
E09000016,Havering,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,12164
E09000016,Havering,Not living in a couple: Widowed or surviving partner from a civil partnership,12355
E09000017,Hillingdon,Living in an opposite-sex couple: Married or in a civil partnership,108441
E09000017,Hillingdon,Living in a same-sex couple: Married or in a civil partnership,411
E09000017,Hillingdon,"Living in a couple: Separated, but still married or in a civil partnership",351
E09000017,Hillingdon,Living in an opposite-sex couple: Cohabiting,20852
