lad22cd,lad22nm,category,count_21
E09000027,Richmond upon Thames,"5 years or more, but less than 10 years",9235
E09000027,Richmond upon Thames,"2 years or more, but less than 5 years",7344
E09000027,Richmond upon Thames,Less than 2 years,6006
E09000028,Southwark,Born in the UK,182392
E09000028,Southwark,10 years or more,71822
E09000028,Southwark,"5 years or more, but less than 10 years",21052
E09000028,Southwark,"2 years or more, but less than 5 years",16975
E09000028,Southwark,Less than 2 years,15397
E09000029,Sutton,Born in the UK,151447
E09000029,Sutton,10 years or more,39540
E09000029,Sutton,"5 years or more, but less than 10 years",9443
E09000029,Sutton,"2 years or more, but less than 5 years",5379
E09000029,Sutton,Less than 2 years,3829
E09000030,Tower Hamlets,Born in the UK,165081
E09000030,Tower Hamlets,10 years or more,70066
E09000030,Tower Hamlets,"5 years or more, but less than 10 years",26808
E09000030,Tower Hamlets,"2 years or more, but less than 5 years",24248
E09000030,Tower Hamlets,Less than 2 years,24103
E09000031,Waltham Forest,Born in the UK,171070
E09000031,Waltham Forest,10 years or more,66599
E09000031,Waltham Forest,"5 years or more, but less than 10 years",19580
E09000031,Waltham Forest,"2 years or more, but less than 5 years",13262
E09000031,Waltham Forest,Less than 2 years,7915
E09000032,Wandsworth,Born in the UK,203322
E09000032,Wandsworth,10 years or more,68220
E09000032,Wandsworth,"5 years or more, but less than 10 years",23762
E09000032,Wandsworth,"2 years or more, but less than 5 years",18270
E09000032,Wandsworth,Less than 2 years,13932
E09000033,Westminster,Born in the UK,90702
E09000033,Westminster,10 years or more,57108
E09000033,Westminster,"5 years or more, but less than 10 years",17692
E09000033,Westminster,"2 years or more, but less than 5 years",17883
E09000033,Westminster,Less than 2 years,20851
