orig_names_21,plot_name_21,orig_names,plot_name
Europe: United Kingdom,United Kingdom,Europe: United Kingdom,United Kingdom
Europe: EU countries: European Union EU14,EU14,Europe: EU countries: European Union EU14,EU14
Europe: EU countries: European Union EU8,EU8,Europe: EU countries: Other European Union,Other EU
Europe: EU countries: European Union EU2,EU2,Europe: EU countries: Other European Union,Other EU
Europe: Non-EU countries: All other non-EU countries,Europe non-EU,Europe: Non-EU countries: All other non-EU countries,Europe non-EU
Europe: EU countries: All other EU countries,Other EU,Europe: EU countries: Other European Union,Other EU
Africa,Africa,Africa,Africa
Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia
The Americas and the Caribbean,Americas and Caribbean,The Americas and the Caribbean,Americas and Caribbean
Antarctica and Oceania (including Australasia) and Other,"Antarctica, Oceania, Other",Antarctica and Oceania (including Australasia) and Other,"Antarctica, Oceania, Other"
British Overseas ,British Overseas ,Antarctica and Oceania (including Australasia) and Other,"Antarctica, Oceania, Other"
