orig_names_21,plot_name_21,orig_names,plot_name
Europe: United Kingdom: England,England,Europe: United Kingdom: England,England
Europe: United Kingdom: Northern Ireland,Northern Ireland,Europe: United Kingdom: Northern Ireland,Northern Ireland
Europe: United Kingdom: Scotland,Scotland,Europe: United Kingdom: Scotland,Scotland
Europe: United Kingdom: Wales,Wales,Europe: United Kingdom: Wales,Wales
Europe: United Kingdom: Great Britain not otherwise specified,Great Britain not otherwise specified,Europe: United Kingdom: Great Britain not otherwise specified,Great Britain not otherwise specified
Europe: United Kingdom: United Kingdom not otherwise specified,United Kingdom not otherwise specified,Europe: United Kingdom: United Kingdom not otherwise specified,United Kingdom not otherwise specified
Europe: Ireland,Ireland,Europe: Ireland,Ireland
Europe: Other Europe,Other Europe,Europe: Other Europe,Other Europe
Africa,Africa,Africa,Africa
Middle East and Asia,Middle East and Asia,Middle East and Asia,Middle East and Asia
The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean,The Americas and the Caribbean
Antarctica and Oceania (including Australasia),Antarctica and Oceania,Antarctica and Oceania (including Australasia),Antarctica and Oceania
Other,Other,Other,Other
