lad22cd,lad22nm,category,count_21,count_11,change
E09000002,Barking and Dagenham,Europe: Other Europe: EU Member countries: Spain,1131,292,839
E09000002,Barking and Dagenham,Europe: Other Europe: Rest of Europe: Other Europe,1353,463,890
E09000002,Barking and Dagenham,Europe: Other Europe: Rest of Europe: Turkey,187,180,7
E09000002,Barking and Dagenham,Europe: United Kingdom,141959,120942,21017
E09000002,Barking and Dagenham,Middle East and Asia: Central Asia,25,37,-12
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: China,229,251,-22
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China),22,9,13
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Japan,24,21,3
E09000002,Barking and Dagenham,Middle East and Asia: Eastern Asia: Other Eastern Asia,30,45,-15
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Iran,36,41,-5
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Iraq,10,10,0
E09000002,Barking and Dagenham,Middle East and Asia: Middle East: Other Middle East,41,46,-5
E09000002,Barking and Dagenham,Middle East and Asia: South-East Asia: Malaysia,117,169,-52
E09000002,Barking and Dagenham,Middle East and Asia: South-East Asia: Other South-East Asia,99,134,-35
E09000002,Barking and Dagenham,Middle East and Asia: South-East Asia: Philippines,229,332,-103
E09000002,Barking and Dagenham,Middle East and Asia: South-East Asia: Singapore,13,6,7
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Afghanistan,73,81,-8
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Bangladesh,2380,1122,1258
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: India,3435,2731,704
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Other Southern Asia,140,123,17
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Pakistan,2523,2349,174
E09000002,Barking and Dagenham,Middle East and Asia: Southern Asia: Sri Lanka,252,395,-143
E09000002,Barking and Dagenham,No passport held,21497,29669,-8172
E09000002,Barking and Dagenham,The Americas and the Caribbean: Central America,13,13,0
E09000002,Barking and Dagenham,The Americas and the Caribbean: North America: Canada,44,64,-20
E09000002,Barking and Dagenham,The Americas and the Caribbean: North America: United States,141,183,-42
E09000002,Barking and Dagenham,The Americas and the Caribbean: South America,264,205,59
E09000002,Barking and Dagenham,The Americas and the Caribbean: The Caribbean: Jamaica,254,330,-76
E09000002,Barking and Dagenham,The Americas and the Caribbean: The Caribbean: Other Caribbean,187,192,-5
E09000003,Barnet,Africa: Central and Western Africa: Ghana,659,837,-178
E09000003,Barnet,Africa: Central and Western Africa: Nigeria,1381,2112,-731
E09000003,Barnet,Africa: Central and Western Africa: Other Central and Western Africa,390,537,-147
E09000003,Barnet,Africa: North Africa,852,557,295
E09000003,Barnet,Africa: South and Eastern Africa: Kenya,216,420,-204
E09000003,Barnet,Africa: South and Eastern Africa: Other South and Eastern Africa,538,1109,-571
E09000003,Barnet,Africa: South and Eastern Africa: Somalia,46,22,24
E09000003,Barnet,Africa: South and Eastern Africa: South Africa,531,886,-355
E09000003,Barnet,Africa: South and Eastern Africa: Zimbabwe,172,294,-122
E09000003,Barnet,Antarctica and Oceania: Australasia: Australia,627,782,-155
E09000003,Barnet,Antarctica and Oceania: Australasia: New Zealand,194,311,-117
E09000003,Barnet,Antarctica and Oceania: Other Antarctica and Oceania,19,26,-7
E09000003,Barnet,British Overseas Territories,3,18,-15
E09000003,Barnet,Europe: Ireland,5787,6846,-1059
E09000003,Barnet,Europe: Other Europe: EU Member countries: France,2529,2273,256
E09000003,Barnet,Europe: Other Europe: EU Member countries: Germany,1612,1811,-199
E09000003,Barnet,Europe: Other Europe: EU Member countries: Italy,5557,3301,2256
E09000003,Barnet,Europe: Other Europe: EU Member countries: Lithuania,1317,1174,143
E09000003,Barnet,Europe: Other Europe: EU Member countries: Other EU countries,15830,11149,4681
E09000003,Barnet,Europe: Other Europe: EU Member countries: Poland,7639,8510,-871
E09000003,Barnet,Europe: Other Europe: EU Member countries: Portugal,3768,2282,1486
E09000003,Barnet,Europe: Other Europe: EU Member countries: Romania,13297,4302,8995
E09000003,Barnet,Europe: Other Europe: EU Member countries: Spain,2771,1348,1423
E09000003,Barnet,Europe: Other Europe: Rest of Europe: Other Europe,3727,1787,1940
