lad22cd,lad22nm,category,count_21,count_11,change
E09000021,Kingston upon Thames,Less than 2 years,5904,5661,243
E09000022,Lambeth,10 years or more,74439,61785,12654
E09000022,Lambeth,"2 years or more, but less than 5 years",15609,17648,-2039
E09000022,Lambeth,"5 years or more, but less than 10 years",19775,24691,-4916
E09000022,Lambeth,Born in the UK,195091,185337,9754
E09000022,Lambeth,Less than 2 years,12740,13625,-885
E09000023,Lewisham,10 years or more,67979,49407,18572
E09000023,Lewisham,"2 years or more, but less than 5 years",12051,12626,-575
E09000023,Lewisham,"5 years or more, but less than 10 years",18646,21918,-3272
E09000023,Lewisham,Born in the UK,193483,182799,10684
E09000023,Lewisham,Less than 2 years,8392,9135,-743
E09000024,Merton,10 years or more,54478,36235,18243
E09000024,Merton,"2 years or more, but less than 5 years",10659,13039,-2380
E09000024,Merton,"5 years or more, but less than 10 years",15491,17910,-2419
E09000024,Merton,Born in the UK,127245,124290,2955
E09000024,Merton,Less than 2 years,7312,8219,-907
E09000025,Newham,10 years or more,101180,71287,29893
E09000025,Newham,"2 years or more, but less than 5 years",29139,30140,-1001
E09000025,Newham,"5 years or more, but less than 10 years",35229,36634,-1405
E09000025,Newham,Born in the UK,162447,142570,19877
E09000025,Newham,Less than 2 years,23040,27353,-4313
E09000026,Redbridge,10 years or more,83717,59790,23927
E09000026,Redbridge,"2 years or more, but less than 5 years",17368,13369,3999
E09000026,Redbridge,"5 years or more, but less than 10 years",21811,19398,2413
E09000026,Redbridge,Born in the UK,174963,175897,-934
E09000026,Redbridge,Less than 2 years,12401,10516,1885
E09000027,Richmond upon Thames,10 years or more,33638,24725,8913
E09000027,Richmond upon Thames,"2 years or more, but less than 5 years",7344,6321,1023
E09000027,Richmond upon Thames,"5 years or more, but less than 10 years",9235,8695,540
E09000027,Richmond upon Thames,Born in the UK,139053,141585,-2532
E09000027,Richmond upon Thames,Less than 2 years,6006,5664,342
E09000028,Southwark,10 years or more,71822,56793,15029
E09000028,Southwark,"2 years or more, but less than 5 years",16975,17256,-281
E09000028,Southwark,"5 years or more, but less than 10 years",21052,24590,-3538
E09000028,Southwark,Born in the UK,182392,174616,7776
E09000028,Southwark,Less than 2 years,15397,15028,369
E09000029,Sutton,10 years or more,39540,21310,18230
E09000029,Sutton,"2 years or more, but less than 5 years",5379,5042,337
E09000029,Sutton,"5 years or more, but less than 10 years",9443,8943,500
E09000029,Sutton,Born in the UK,151447,152390,-943
E09000029,Sutton,Less than 2 years,3829,2461,1368
E09000030,Tower Hamlets,10 years or more,70066,51093,18973
E09000030,Tower Hamlets,"2 years or more, but less than 5 years",24248,18224,6024
E09000030,Tower Hamlets,"5 years or more, but less than 10 years",26808,21319,5489
E09000030,Tower Hamlets,Born in the UK,165081,144662,20419
E09000030,Tower Hamlets,Less than 2 years,24103,18798,5305
E09000031,Waltham Forest,10 years or more,66599,48718,17881
E09000031,Waltham Forest,"2 years or more, but less than 5 years",13262,16997,-3735
E09000031,Waltham Forest,"5 years or more, but less than 10 years",19580,23205,-3625
E09000031,Waltham Forest,Born in the UK,171070,158437,12633
E09000031,Waltham Forest,Less than 2 years,7915,10892,-2977
E09000032,Wandsworth,10 years or more,68220,49596,18624
E09000032,Wandsworth,"2 years or more, but less than 5 years",18270,19533,-1263
E09000032,Wandsworth,"5 years or more, but less than 10 years",23762,24458,-696
E09000032,Wandsworth,Born in the UK,203322,198422,4900
E09000032,Wandsworth,Less than 2 years,13932,14986,-1054
E09000033,Westminster,10 years or more,57108,52663,4445
E09000033,Westminster,"2 years or more, but less than 5 years",17883,20791,-2908
E09000033,Westminster,"5 years or more, but less than 10 years",17692,20961,-3269
E09000033,Westminster,Born in the UK,90702,102407,-11705
E09000033,Westminster,Less than 2 years,20851,22574,-1723
