lad22cd,lad22nm,category,count_21,count_11,change
E09000005,Brent,Arrived in the UK: Aged 90 years and over,14,10,4
E09000005,Brent,Born in the UK,149239,139788,9451
E09000006,Bromley,Arrived in the UK: Aged 0 to 4 years,7054,5536,1518
E09000006,Bromley,Arrived in the UK: Aged 10 to 14 years,3654,3103,551
E09000006,Bromley,Arrived in the UK: Aged 15 years,880,703,177
E09000006,Bromley,Arrived in the UK: Aged 16 to 17 years,2420,1934,486
E09000006,Bromley,Arrived in the UK: Aged 18 to 19 years,3794,2838,956
E09000006,Bromley,Arrived in the UK: Aged 20 to 24 years,12960,8966,3994
E09000006,Bromley,Arrived in the UK: Aged 25 to 29 years,13736,8261,5475
E09000006,Bromley,Arrived in the UK: Aged 30 to 44 years,14766,8047,6719
E09000006,Bromley,Arrived in the UK: Aged 45 to 59 years,2529,1417,1112
E09000006,Bromley,Arrived in the UK: Aged 5 to 7 years,2632,2089,543
E09000006,Bromley,Arrived in the UK: Aged 60 to 64 years,378,182,196
E09000006,Bromley,Arrived in the UK: Aged 65 to 74 years,428,214,214
E09000006,Bromley,Arrived in the UK: Aged 75 to 84 years,115,68,47
E09000006,Bromley,Arrived in the UK: Aged 8 to 9 years,1567,1368,199
E09000006,Bromley,Arrived in the UK: Aged 85 to 89 years,20,15,5
E09000006,Bromley,Arrived in the UK: Aged 90 years and over,5,3,2
E09000006,Bromley,Born in the UK,263052,264648,-1596
E09000007,Camden,Arrived in the UK: Aged 0 to 4 years,7617,8143,-526
E09000007,Camden,Arrived in the UK: Aged 10 to 14 years,4405,4935,-530
E09000007,Camden,Arrived in the UK: Aged 15 years,1133,1296,-163
E09000007,Camden,Arrived in the UK: Aged 16 to 17 years,4592,4658,-66
E09000007,Camden,Arrived in the UK: Aged 18 to 19 years,7503,7378,125
E09000007,Camden,Arrived in the UK: Aged 20 to 24 years,19464,19675,-211
E09000007,Camden,Arrived in the UK: Aged 25 to 29 years,18776,19327,-551
E09000007,Camden,Arrived in the UK: Aged 30 to 44 years,21400,18639,2761
E09000007,Camden,Arrived in the UK: Aged 45 to 59 years,4456,3525,931
E09000007,Camden,Arrived in the UK: Aged 5 to 7 years,3072,3054,18
E09000007,Camden,Arrived in the UK: Aged 60 to 64 years,515,499,16
E09000007,Camden,Arrived in the UK: Aged 65 to 74 years,550,509,41
E09000007,Camden,Arrived in the UK: Aged 75 to 84 years,135,129,6
E09000007,Camden,Arrived in the UK: Aged 8 to 9 years,1843,1853,-10
E09000007,Camden,Arrived in the UK: Aged 85 to 89 years,24,16,8
E09000007,Camden,Arrived in the UK: Aged 90 years and over,4,7,-3
E09000007,Camden,Born in the UK,114647,126695,-12048
E09000008,Croydon,Arrived in the UK: Aged 0 to 4 years,11811,10002,1809
E09000008,Croydon,Arrived in the UK: Aged 10 to 14 years,10163,9224,939
E09000008,Croydon,Arrived in the UK: Aged 15 years,2627,2332,295
E09000008,Croydon,Arrived in the UK: Aged 16 to 17 years,5868,5173,695
E09000008,Croydon,Arrived in the UK: Aged 18 to 19 years,8243,6912,1331
E09000008,Croydon,Arrived in the UK: Aged 20 to 24 years,25870,21877,3993
E09000008,Croydon,Arrived in the UK: Aged 25 to 29 years,24037,18888,5149
E09000008,Croydon,Arrived in the UK: Aged 30 to 44 years,29274,19650,9624
E09000008,Croydon,Arrived in the UK: Aged 45 to 59 years,6545,3864,2681
E09000008,Croydon,Arrived in the UK: Aged 5 to 7 years,5819,4945,874
E09000008,Croydon,Arrived in the UK: Aged 60 to 64 years,775,428,347
E09000008,Croydon,Arrived in the UK: Aged 65 to 74 years,801,529,272
E09000008,Croydon,Arrived in the UK: Aged 75 to 84 years,289,146,143
E09000008,Croydon,Arrived in the UK: Aged 8 to 9 years,4018,3486,532
E09000008,Croydon,Arrived in the UK: Aged 85 to 89 years,32,16,16
E09000008,Croydon,Arrived in the UK: Aged 90 years and over,11,12,-1
E09000008,Croydon,Born in the UK,254536,255894,-1358
E09000009,Ealing,Arrived in the UK: Aged 0 to 4 years,14583,13006,1577
E09000009,Ealing,Arrived in the UK: Aged 10 to 14 years,11703,10908,795
E09000009,Ealing,Arrived in the UK: Aged 15 years,2667,2647,20
E09000009,Ealing,Arrived in the UK: Aged 16 to 17 years,7063,6723,340
E09000009,Ealing,Arrived in the UK: Aged 18 to 19 years,11700,10790,910
E09000009,Ealing,Arrived in the UK: Aged 20 to 24 years,36158,36628,-470
E09000009,Ealing,Arrived in the UK: Aged 25 to 29 years,33659,30767,2892
E09000009,Ealing,Arrived in the UK: Aged 30 to 44 years,43191,32035,11156
E09000009,Ealing,Arrived in the UK: Aged 45 to 59 years,10618,6694,3924
E09000009,Ealing,Arrived in the UK: Aged 5 to 7 years,7272,6492,780
E09000009,Ealing,Arrived in the UK: Aged 60 to 64 years,1368,939,429
E09000009,Ealing,Arrived in the UK: Aged 65 to 74 years,1454,1086,368
E09000009,Ealing,Arrived in the UK: Aged 75 to 84 years,340,241,99
E09000009,Ealing,Arrived in the UK: Aged 8 to 9 years,4727,4227,500
E09000009,Ealing,Arrived in the UK: Aged 85 to 89 years,40,31,9
E09000009,Ealing,Arrived in the UK: Aged 90 years and over,10,14,-4
E09000009,Ealing,Born in the UK,180561,175221,5340
E09000010,Enfield,Arrived in the UK: Aged 0 to 4 years,12151,10441,1710
E09000010,Enfield,Arrived in the UK: Aged 10 to 14 years,10481,9227,1254
E09000010,Enfield,Arrived in the UK: Aged 15 years,2637,2503,134
E09000010,Enfield,Arrived in the UK: Aged 16 to 17 years,6487,6175,312
E09000010,Enfield,Arrived in the UK: Aged 18 to 19 years,8952,8353,599
E09000010,Enfield,Arrived in the UK: Aged 20 to 24 years,25391,23157,2234
E09000010,Enfield,Arrived in the UK: Aged 25 to 29 years,21014,17662,3352
E09000010,Enfield,Arrived in the UK: Aged 30 to 44 years,27453,18538,8915
E09000010,Enfield,Arrived in the UK: Aged 45 to 59 years,6320,3188,3132
E09000010,Enfield,Arrived in the UK: Aged 5 to 7 years,6267,5642,625
E09000010,Enfield,Arrived in the UK: Aged 60 to 64 years,791,423,368
E09000010,Enfield,Arrived in the UK: Aged 65 to 74 years,754,478,276
E09000010,Enfield,Arrived in the UK: Aged 75 to 84 years,224,141,83
E09000010,Enfield,Arrived in the UK: Aged 8 to 9 years,4199,3649,550
E09000010,Enfield,Arrived in the UK: Aged 85 to 89 years,34,16,18
E09000010,Enfield,Arrived in the UK: Aged 90 years and over,7,5,2
E09000010,Enfield,Born in the UK,196824,202868,-6044
E09000011,Greenwich,Arrived in the UK: Aged 0 to 4 years,8763,7186,1577
E09000011,Greenwich,Arrived in the UK: Aged 10 to 14 years,6322,5304,1018
E09000011,Greenwich,Arrived in the UK: Aged 15 years,1590,1335,255
E09000011,Greenwich,Arrived in the UK: Aged 16 to 17 years,4247,3490,757
E09000011,Greenwich,Arrived in the UK: Aged 18 to 19 years,6842,5221,1621
E09000011,Greenwich,Arrived in the UK: Aged 20 to 24 years,20040,16647,3393
E09000011,Greenwich,Arrived in the UK: Aged 25 to 29 years,21392,15498,5894
E09000011,Greenwich,Arrived in the UK: Aged 30 to 44 years,25817,15625,10192
E09000011,Greenwich,Arrived in the UK: Aged 45 to 59 years,5378,2718,2660
E09000011,Greenwich,Arrived in the UK: Aged 5 to 7 years,3839,2978,861
E09000011,Greenwich,Arrived in the UK: Aged 60 to 64 years,771,396,375
E09000011,Greenwich,Arrived in the UK: Aged 65 to 74 years,911,447,464
E09000011,Greenwich,Arrived in the UK: Aged 75 to 84 years,194,92,102
E09000011,Greenwich,Arrived in the UK: Aged 8 to 9 years,2361,1963,398
E09000011,Greenwich,Arrived in the UK: Aged 85 to 89 years,17,7,10
E09000011,Greenwich,Arrived in the UK: Aged 90 years and over,6,5,1
E09000011,Greenwich,Born in the UK,180578,175645,4933
E09000012,Hackney,Arrived in the UK: Aged 0 to 4 years,7771,7918,-147
E09000012,Hackney,Arrived in the UK: Aged 10 to 14 years,5665,6571,-906
E09000012,Hackney,Arrived in the UK: Aged 15 years,1402,1664,-262
E09000012,Hackney,Arrived in the UK: Aged 16 to 17 years,4182,4349,-167
E09000012,Hackney,Arrived in the UK: Aged 18 to 19 years,7103,6891,212
E09000012,Hackney,Arrived in the UK: Aged 20 to 24 years,22808,21935,873
E09000012,Hackney,Arrived in the UK: Aged 25 to 29 years,22258,19170,3088
E09000012,Hackney,Arrived in the UK: Aged 30 to 44 years,21243,17653,3590
