lad22cd,lad22nm,category,count_21,count_11,change
E09000018,Hounslow,Household is deprived in four dimensions,420,749,-329
E09000018,Hounslow,Household is deprived in one dimension,36270,33763,2507
E09000018,Hounslow,Household is deprived in three dimensions,4377,5774,-1397
E09000018,Hounslow,Household is deprived in two dimensions,16488,19203,-2715
E09000018,Hounslow,Household is not deprived in any dimension,45406,35413,9993
E09000019,Islington,Household is deprived in four dimensions,450,1274,-824
E09000019,Islington,Household is deprived in one dimension,29403,31880,-2477
E09000019,Islington,Household is deprived in three dimensions,5409,7762,-2353
E09000019,Islington,Household is deprived in two dimensions,14577,18351,-3774
E09000019,Islington,Household is not deprived in any dimension,46657,34289,12368
E09000020,Kensington and Chelsea,Household is deprived in four dimensions,426,823,-397
E09000020,Kensington and Chelsea,Household is deprived in one dimension,20245,27161,-6916
E09000020,Kensington and Chelsea,Household is deprived in three dimensions,2918,4366,-1448
E09000020,Kensington and Chelsea,Household is deprived in two dimensions,8121,11908,-3787
E09000020,Kensington and Chelsea,Household is not deprived in any dimension,35174,34278,896
E09000021,Kingston upon Thames,Household is deprived in four dimensions,116,246,-130
E09000021,Kingston upon Thames,Household is deprived in one dimension,20274,20186,88
E09000021,Kingston upon Thames,Household is deprived in three dimensions,1552,2140,-588
E09000021,Kingston upon Thames,Household is deprived in two dimensions,7045,8892,-1847
E09000021,Kingston upon Thames,Household is not deprived in any dimension,36639,32175,4464
E09000022,Lambeth,Household is deprived in four dimensions,473,1291,-818
E09000022,Lambeth,Household is deprived in one dimension,42725,44100,-1375
E09000022,Lambeth,Household is deprived in three dimensions,5499,8654,-3155
E09000022,Lambeth,Household is deprived in two dimensions,18625,24158,-5533
E09000022,Lambeth,Household is not deprived in any dimension,67366,51814,15552
E09000023,Lewisham,Household is deprived in four dimensions,536,1094,-558
E09000023,Lewisham,Household is deprived in one dimension,39762,39640,122
E09000023,Lewisham,Household is deprived in three dimensions,5755,7871,-2116
E09000023,Lewisham,Household is deprived in two dimensions,18556,22963,-4407
E09000023,Lewisham,Household is not deprived in any dimension,57783,44523,13260
E09000024,Merton,Household is deprived in four dimensions,168,380,-212
E09000024,Merton,Household is deprived in one dimension,25596,25594,2
E09000024,Merton,Household is deprived in three dimensions,2276,3457,-1181
E09000024,Merton,Household is deprived in two dimensions,9632,12685,-3053
E09000024,Merton,Household is not deprived in any dimension,44057,36641,7416
E09000025,Newham,Household is deprived in four dimensions,501,1311,-810
E09000025,Newham,Household is deprived in one dimension,41296,38692,2604
E09000025,Newham,Household is deprived in three dimensions,7081,9748,-2667
E09000025,Newham,Household is deprived in two dimensions,21230,26412,-5182
E09000025,Newham,Household is not deprived in any dimension,45399,25356,20043
E09000026,Redbridge,Household is deprived in four dimensions,277,612,-335
E09000026,Redbridge,Household is deprived in one dimension,36254,34616,1638
E09000026,Redbridge,Household is deprived in three dimensions,3869,5455,-1586
E09000026,Redbridge,Household is deprived in two dimensions,15319,20000,-4681
E09000026,Redbridge,Household is not deprived in any dimension,47994,38422,9572
E09000027,Richmond upon Thames,Household is deprived in four dimensions,130,277,-147
E09000027,Richmond upon Thames,Household is deprived in one dimension,22644,22322,322
E09000027,Richmond upon Thames,Household is deprived in three dimensions,1678,2237,-559
