lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000016,Not answered,106
E09000002,Barking and Dagenham,E01000017,No religion,370
E09000002,Barking and Dagenham,E01000017,Christian,876
E09000002,Barking and Dagenham,E01000017,Buddhist,1
E09000002,Barking and Dagenham,E01000017,Hindu,39
E09000002,Barking and Dagenham,E01000017,Jewish,1
E09000002,Barking and Dagenham,E01000017,Muslim,301
E09000002,Barking and Dagenham,E01000017,Sikh,13
E09000002,Barking and Dagenham,E01000017,Other religion,10
E09000002,Barking and Dagenham,E01000017,Not answered,119
E09000002,Barking and Dagenham,E01000018,No religion,483
E09000002,Barking and Dagenham,E01000018,Christian,887
E09000002,Barking and Dagenham,E01000018,Buddhist,1
E09000002,Barking and Dagenham,E01000018,Hindu,33
E09000002,Barking and Dagenham,E01000018,Jewish,2
E09000002,Barking and Dagenham,E01000018,Muslim,272
E09000002,Barking and Dagenham,E01000018,Sikh,8
E09000002,Barking and Dagenham,E01000018,Other religion,1
E09000002,Barking and Dagenham,E01000018,Not answered,92
E09000002,Barking and Dagenham,E01000019,No religion,247
E09000002,Barking and Dagenham,E01000019,Christian,718
E09000002,Barking and Dagenham,E01000019,Buddhist,14
E09000002,Barking and Dagenham,E01000019,Hindu,36
E09000002,Barking and Dagenham,E01000019,Jewish,1
E09000002,Barking and Dagenham,E01000019,Muslim,450
E09000002,Barking and Dagenham,E01000019,Sikh,77
E09000002,Barking and Dagenham,E01000019,Other religion,5
E09000002,Barking and Dagenham,E01000019,Not answered,107
E09000002,Barking and Dagenham,E01000020,No religion,358
E09000002,Barking and Dagenham,E01000020,Christian,999
E09000002,Barking and Dagenham,E01000020,Buddhist,4
E09000002,Barking and Dagenham,E01000020,Hindu,56
E09000002,Barking and Dagenham,E01000020,Jewish,2
E09000002,Barking and Dagenham,E01000020,Muslim,590
E09000002,Barking and Dagenham,E01000020,Sikh,51
E09000002,Barking and Dagenham,E01000020,Other religion,9
E09000002,Barking and Dagenham,E01000020,Not answered,122
E09000002,Barking and Dagenham,E01000021,No religion,320
E09000002,Barking and Dagenham,E01000021,Christian,683
E09000002,Barking and Dagenham,E01000021,Buddhist,12
E09000002,Barking and Dagenham,E01000021,Hindu,58
E09000002,Barking and Dagenham,E01000021,Jewish,6
E09000002,Barking and Dagenham,E01000021,Muslim,477
E09000002,Barking and Dagenham,E01000021,Sikh,57
E09000002,Barking and Dagenham,E01000021,Other religion,4
E09000002,Barking and Dagenham,E01000021,Not answered,80
E09000002,Barking and Dagenham,E01000022,No religion,265
E09000002,Barking and Dagenham,E01000022,Christian,698
E09000002,Barking and Dagenham,E01000022,Buddhist,2
E09000002,Barking and Dagenham,E01000022,Hindu,44
E09000002,Barking and Dagenham,E01000022,Jewish,0
E09000002,Barking and Dagenham,E01000022,Muslim,348
E09000002,Barking and Dagenham,E01000022,Sikh,32
E09000002,Barking and Dagenham,E01000022,Other religion,5
E09000002,Barking and Dagenham,E01000022,Not answered,85
E09000002,Barking and Dagenham,E01000024,No religion,292
E09000002,Barking and Dagenham,E01000024,Christian,667
E09000002,Barking and Dagenham,E01000024,Buddhist,3
E09000002,Barking and Dagenham,E01000024,Hindu,19
E09000002,Barking and Dagenham,E01000024,Jewish,2
E09000002,Barking and Dagenham,E01000024,Muslim,370
E09000002,Barking and Dagenham,E01000024,Sikh,46
E09000002,Barking and Dagenham,E01000024,Other religion,16
E09000002,Barking and Dagenham,E01000024,Not answered,69
E09000002,Barking and Dagenham,E01000025,No religion,405
E09000002,Barking and Dagenham,E01000025,Christian,897
E09000002,Barking and Dagenham,E01000025,Buddhist,10
E09000002,Barking and Dagenham,E01000025,Hindu,45
E09000002,Barking and Dagenham,E01000025,Jewish,1
E09000002,Barking and Dagenham,E01000025,Muslim,401
E09000002,Barking and Dagenham,E01000025,Sikh,37
E09000002,Barking and Dagenham,E01000025,Other religion,8
E09000002,Barking and Dagenham,E01000025,Not answered,118
E09000002,Barking and Dagenham,E01000027,No religion,639
E09000002,Barking and Dagenham,E01000027,Christian,948
E09000002,Barking and Dagenham,E01000027,Buddhist,2
E09000002,Barking and Dagenham,E01000027,Hindu,58
E09000002,Barking and Dagenham,E01000027,Jewish,4
E09000002,Barking and Dagenham,E01000027,Muslim,277
E09000002,Barking and Dagenham,E01000027,Sikh,37
E09000002,Barking and Dagenham,E01000027,Other religion,12
E09000002,Barking and Dagenham,E01000027,Not answered,108
E09000002,Barking and Dagenham,E01000028,No religion,330
E09000002,Barking and Dagenham,E01000028,Christian,877
E09000002,Barking and Dagenham,E01000028,Buddhist,4
E09000002,Barking and Dagenham,E01000028,Hindu,40
E09000002,Barking and Dagenham,E01000028,Jewish,8
E09000002,Barking and Dagenham,E01000028,Muslim,436
E09000002,Barking and Dagenham,E01000028,Sikh,35
E09000002,Barking and Dagenham,E01000028,Other religion,10
E09000002,Barking and Dagenham,E01000028,Not answered,75
E09000002,Barking and Dagenham,E01000029,No religion,177
E09000002,Barking and Dagenham,E01000029,Christian,854
E09000002,Barking and Dagenham,E01000029,Buddhist,14
E09000002,Barking and Dagenham,E01000029,Hindu,137
E09000002,Barking and Dagenham,E01000029,Jewish,12
E09000002,Barking and Dagenham,E01000029,Muslim,441
E09000002,Barking and Dagenham,E01000029,Sikh,82
E09000002,Barking and Dagenham,E01000029,Other religion,6
E09000002,Barking and Dagenham,E01000029,Not answered,96
E09000002,Barking and Dagenham,E01000030,No religion,671
E09000002,Barking and Dagenham,E01000030,Christian,1218
E09000002,Barking and Dagenham,E01000030,Buddhist,7
E09000002,Barking and Dagenham,E01000030,Hindu,35
E09000002,Barking and Dagenham,E01000030,Jewish,7
E09000002,Barking and Dagenham,E01000030,Muslim,453
E09000002,Barking and Dagenham,E01000030,Sikh,18
E09000002,Barking and Dagenham,E01000030,Other religion,4
E09000002,Barking and Dagenham,E01000030,Not answered,147
E09000002,Barking and Dagenham,E01000031,No religion,206
E09000002,Barking and Dagenham,E01000031,Christian,658
E09000002,Barking and Dagenham,E01000031,Buddhist,0
E09000002,Barking and Dagenham,E01000031,Hindu,100
E09000002,Barking and Dagenham,E01000031,Jewish,2
E09000002,Barking and Dagenham,E01000031,Muslim,568
E09000002,Barking and Dagenham,E01000031,Sikh,130
E09000002,Barking and Dagenham,E01000031,Other religion,9
E09000002,Barking and Dagenham,E01000031,Not answered,100
E09000002,Barking and Dagenham,E01000032,No religion,346
E09000002,Barking and Dagenham,E01000032,Christian,799
E09000002,Barking and Dagenham,E01000032,Buddhist,18
E09000002,Barking and Dagenham,E01000032,Hindu,95
E09000002,Barking and Dagenham,E01000032,Jewish,2
E09000002,Barking and Dagenham,E01000032,Muslim,570
E09000002,Barking and Dagenham,E01000032,Sikh,105
E09000002,Barking and Dagenham,E01000032,Other religion,15
E09000002,Barking and Dagenham,E01000032,Not answered,132
E09000002,Barking and Dagenham,E01000033,No religion,520
E09000002,Barking and Dagenham,E01000033,Christian,732
E09000002,Barking and Dagenham,E01000033,Buddhist,3
E09000002,Barking and Dagenham,E01000033,Hindu,20
E09000002,Barking and Dagenham,E01000033,Jewish,3
E09000002,Barking and Dagenham,E01000033,Muslim,178
E09000002,Barking and Dagenham,E01000033,Sikh,0
E09000002,Barking and Dagenham,E01000033,Other religion,4
E09000002,Barking and Dagenham,E01000033,Not answered,83
E09000002,Barking and Dagenham,E01000034,No religion,401
E09000002,Barking and Dagenham,E01000034,Christian,837
E09000002,Barking and Dagenham,E01000034,Buddhist,5
E09000002,Barking and Dagenham,E01000034,Hindu,23
E09000002,Barking and Dagenham,E01000034,Jewish,3
E09000002,Barking and Dagenham,E01000034,Muslim,190
E09000002,Barking and Dagenham,E01000034,Sikh,3
E09000002,Barking and Dagenham,E01000034,Other religion,5
E09000002,Barking and Dagenham,E01000034,Not answered,107
E09000002,Barking and Dagenham,E01000035,No religion,345
E09000002,Barking and Dagenham,E01000035,Christian,1006
E09000002,Barking and Dagenham,E01000035,Buddhist,1
E09000002,Barking and Dagenham,E01000035,Hindu,33
E09000002,Barking and Dagenham,E01000035,Jewish,3
E09000002,Barking and Dagenham,E01000035,Muslim,303
E09000002,Barking and Dagenham,E01000035,Sikh,13
E09000002,Barking and Dagenham,E01000035,Other religion,1
E09000002,Barking and Dagenham,E01000035,Not answered,151
E09000002,Barking and Dagenham,E01000036,No religion,224
E09000002,Barking and Dagenham,E01000036,Christian,761
E09000002,Barking and Dagenham,E01000036,Buddhist,4
E09000002,Barking and Dagenham,E01000036,Hindu,35
E09000002,Barking and Dagenham,E01000036,Jewish,1
E09000002,Barking and Dagenham,E01000036,Muslim,337
E09000002,Barking and Dagenham,E01000036,Sikh,17
E09000002,Barking and Dagenham,E01000036,Other religion,6
E09000002,Barking and Dagenham,E01000036,Not answered,85
E09000002,Barking and Dagenham,E01000037,No religion,398
E09000002,Barking and Dagenham,E01000037,Christian,887
E09000002,Barking and Dagenham,E01000037,Buddhist,14
E09000002,Barking and Dagenham,E01000037,Hindu,47
E09000002,Barking and Dagenham,E01000037,Jewish,5
E09000002,Barking and Dagenham,E01000037,Muslim,225
E09000002,Barking and Dagenham,E01000037,Sikh,29
E09000002,Barking and Dagenham,E01000037,Other religion,2
E09000002,Barking and Dagenham,E01000037,Not answered,86
E09000002,Barking and Dagenham,E01000038,No religion,404
E09000002,Barking and Dagenham,E01000038,Christian,837
E09000002,Barking and Dagenham,E01000038,Buddhist,11
E09000002,Barking and Dagenham,E01000038,Hindu,54
E09000002,Barking and Dagenham,E01000038,Jewish,3
E09000002,Barking and Dagenham,E01000038,Muslim,195
E09000002,Barking and Dagenham,E01000038,Sikh,36
E09000002,Barking and Dagenham,E01000038,Other religion,5
E09000002,Barking and Dagenham,E01000038,Not answered,73
E09000002,Barking and Dagenham,E01000039,No religion,467
E09000002,Barking and Dagenham,E01000039,Christian,898
E09000002,Barking and Dagenham,E01000039,Buddhist,5
E09000002,Barking and Dagenham,E01000039,Hindu,35
E09000002,Barking and Dagenham,E01000039,Jewish,2
E09000002,Barking and Dagenham,E01000039,Muslim,219
E09000002,Barking and Dagenham,E01000039,Sikh,36
E09000002,Barking and Dagenham,E01000039,Other religion,6
E09000002,Barking and Dagenham,E01000039,Not answered,85
E09000002,Barking and Dagenham,E01000040,No religion,324
E09000002,Barking and Dagenham,E01000040,Christian,761
E09000002,Barking and Dagenham,E01000040,Buddhist,10
E09000002,Barking and Dagenham,E01000040,Hindu,73
E09000002,Barking and Dagenham,E01000040,Jewish,5
E09000002,Barking and Dagenham,E01000040,Muslim,589
E09000002,Barking and Dagenham,E01000040,Sikh,40
E09000002,Barking and Dagenham,E01000040,Other religion,6
E09000002,Barking and Dagenham,E01000040,Not answered,70
E09000002,Barking and Dagenham,E01000041,No religion,431
E09000002,Barking and Dagenham,E01000041,Christian,947
E09000002,Barking and Dagenham,E01000041,Buddhist,5
E09000002,Barking and Dagenham,E01000041,Hindu,19
E09000002,Barking and Dagenham,E01000041,Jewish,1
E09000002,Barking and Dagenham,E01000041,Muslim,296
E09000002,Barking and Dagenham,E01000041,Sikh,23
E09000002,Barking and Dagenham,E01000041,Other religion,4
E09000002,Barking and Dagenham,E01000041,Not answered,116
E09000002,Barking and Dagenham,E01000042,No religion,395
E09000002,Barking and Dagenham,E01000042,Christian,791
E09000002,Barking and Dagenham,E01000042,Buddhist,7
E09000002,Barking and Dagenham,E01000042,Hindu,40
E09000002,Barking and Dagenham,E01000042,Jewish,2
