orig_names_21,plot_name_21,orig_names,plot_names
African language: Tigrinya,Tigrinya,African language: Tigrinya,Tigrinya
African language: Somali,Somali,African language: Somali,Somali
African language: Krio,Krio,African language: Krio,Krio
African language: Akan,Akan,African language: Akan,Akan
African language: Yoruba,Yoruba,African language: Yoruba,Yoruba
African language: Igbo,Igbo,African language: Igbo,Igbo
African language: Swahili or Kiswahili,Swahili or Kiswahili,African language: Swahili or Kiswahili,Swahili or Kiswahili
African language: Luganda,Luganda,African language: Luganda,Luganda
African language: Lingala,Lingala,African language: Lingala,Lingala
African language: Shona,Shona,African language: Shona,Shona
African language: Afrikaans,Afrikaans,African language: Afrikaans,Afrikaans
African language: Any other Nigerian language,Any other Nigerian language,African language: Any other Nigerian language,Any other Nigerian language
African language: Any other West African language,Any other West African language,African language: Any other West African language,Any other West African language
African language: Any other African language,Any other African language,African language: Any other African language,Any other African language
Sign language: British Sign Language,British Sign Language,Sign language: British Sign Language,British Sign Language
Sign language: Any other Sign language,Any other Sign language,Sign language: Any other Sign language,Any other Sign language
Sign language: Any Sign communication system,Any Sign communication system,Sign language: Any Sign communication system,Any Sign communication system
Other language,Other,Other language,Other
