orig_names_21,plot_name_21,orig_names,plot_name
Main language is English (English or Welsh in Wales),Main language is English,Main language is English (English or Welsh in Wales),Main language is English
Main language is not English (English or Welsh in Wales): Can speak English very well,Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English very well,Can speak English very well
Main language is not English (English or Welsh in Wales): Can speak English well,Can speak English well,Main language is not English (English or Welsh in Wales): Can speak English well,Can speak English well
Main language is not English (English or Welsh in Wales): Cannot speak English well,Cannot speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English well,Cannot speak English well
Main language is not English (English or Welsh in Wales): Cannot speak English,Cannot speak English,Main language is not English (English or Welsh in Wales): Cannot speak English,Cannot speak English
