category,lad22cd,lad22nm,ward22cd,ward22nm,count_21,count_11,change
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011099,Dulwich Hill,1224,1238,-14
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011100,Dulwich Village,880,994,-114
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011101,Dulwich Wood,1152,1154,-2
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011102,Faraday,1102,1180,-78
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011103,Goose Green,1752,1721,31
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011104,London Bridge & West Bermondsey,2004,1515,489
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011105,Newington,1427,1342,85
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011106,North Bermondsey,2077,2090,-13
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011107,North Walworth,1678,1043,635
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011108,Nunhead & Queen's Road,1604,1307,297
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011109,Old Kent Road,1647,1487,160
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011110,Peckham,1339,1173,166
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011111,Peckham Rye,1247,1234,13
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011112,Rotherhithe,1797,1654,143
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011113,Rye Lane,1562,1483,79
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011114,St George's,906,575,331
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011115,St Giles,1557,1484,73
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011116,South Bermondsey,1543,1589,-46
Occupancy rating of bedrooms: +1,E09000028,Southwark,E05011117,Surrey Docks,1910,1787,123
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011217,Barnehurst,1550,1704,-154
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011218,Belvedere,2204,2265,-61
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011219,Bexleyheath,2229,2273,-44
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011220,Blackfen & Lamorbey,2202,2424,-222
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011221,Blendon & Penhill,2238,2391,-153
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011222,Crayford,2125,2024,101
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011223,Crook Log,2200,2334,-134
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011224,East Wickham,1952,2025,-73
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011225,Erith,1503,1363,140
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011226,Falconwood & Welling,2317,2349,-32
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011227,Longlands,1471,1560,-89
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011228,Northumberland Heath,1375,1475,-100
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011229,St Mary's & St James,1427,1461,-34
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011230,Sidcup,2146,2171,-25
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011231,Slade Green & Northend,1343,1256,87
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011232,Thamesmead East,1324,1660,-336
Occupancy rating of bedrooms: +1,E09000004,Bexley,E05011233,West Heath,2038,2291,-253
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011234,Aldborough,1406,1471,-65
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011235,Barkingside,1305,1381,-76
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011236,Bridge,1770,1935,-165
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011237,Chadwell,1575,1726,-151
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011238,Churchfields,1670,1962,-292
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011239,Clayhall,1075,1303,-228
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011240,Clementswood,823,822,1
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011241,Cranbrook,913,910,3
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011242,Fairlop,1517,1708,-191
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011243,Fullwell,1688,1844,-156
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011244,Goodmayes,1014,1039,-25
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011245,Hainault,1789,1731,58
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011246,Ilford Town,692,675,17
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011247,Loxford,956,949,7
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011248,Mayfield,1163,1227,-64
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011249,Monkhams,1122,1141,-19
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011250,Newbury,1053,1067,-14
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011251,Seven Kings,1059,1104,-45
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011252,South Woodford,1461,1609,-148
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011253,Valentines,920,1042,-122
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011254,Wanstead Park,816,971,-155
Occupancy rating of bedrooms: +1,E09000026,Redbridge,E05011255,Wanstead Village,1803,1973,-170
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011462,Addiscombe East,1326,1377,-51
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011463,Addiscombe West,1849,1899,-50
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011464,Bensham Manor,1637,1625,12
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011465,Broad Green,1685,1721,-36
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011466,Coulsdon Town,1702,1443,259
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011467,Crystal Palace & Upper Norwood,2201,2167,34
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011468,Fairfield,1633,1046,587
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011469,Kenley,1189,1304,-115
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011470,New Addington North,865,907,-42
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011471,New Addington South,1217,1326,-109
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011472,Norbury & Pollards Hill,1174,1262,-88
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011473,Norbury Park,933,965,-32
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011474,Old Coulsdon,1212,1352,-140
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011475,Park Hill & Whitgift,590,685,-95
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011476,Purley & Woodcote,1667,1712,-45
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011477,Purley Oaks & Riddlesdown,1186,1304,-118
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011478,Sanderstead,1676,1679,-3
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011479,Selhurst,1247,1179,68
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011480,Selsdon & Addington Village,1090,1123,-33
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011481,Selsdon Vale & Forestdale,1227,1341,-114
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011482,Shirley North,1991,2065,-74
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011483,Shirley South,1056,1190,-134
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011484,South Croydon,2189,2256,-67
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011485,South Norwood,1702,1592,110
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011486,Thornton Heath,1933,1940,-7
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011487,Waddon,2006,2020,-14
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011488,West Thornton,1540,1588,-48
Occupancy rating of bedrooms: +1,E09000008,Croydon,E05011489,Woodside,2073,2127,-54
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013496,Alperton,952,787,165
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013497,Barnhill,877,880,-3
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013498,Brondesbury Park,1370,1274,96
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013499,Cricklewood & Mapesbury,1267,1282,-15
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013500,Dollis Hill,1488,1545,-57
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013501,Harlesden & Kensal Green,1827,1796,31
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013502,Kenton,1400,1487,-87
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013503,Kilburn,1780,1539,241
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013504,Kingsbury,981,882,99
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013505,Northwick Park,856,881,-25
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013506,Preston,893,879,14
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013507,Queens Park,2007,2005,2
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013508,Queensbury,1475,1381,94
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013509,Roundwood,1288,1270,18
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013510,Stonebridge,1474,1243,231
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013511,Sudbury,982,975,7
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013512,Tokyngton,705,681,24
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013513,Welsh Harp,1466,1523,-57
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013514,Wembley Central,975,992,-17
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013515,Wembley Hill,981,981,0
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013516,Wembley Park,559,139,420
Occupancy rating of bedrooms: +1,E09000005,Brent,E05013517,Willesden Green,1733,1637,96
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013518,Central Greenford,1299,1345,-46
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013519,Dormers Wells,1053,1069,-16
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013520,Ealing Broadway,1627,1404,223
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013521,Ealing Common,1741,1714,27
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013522,East Acton,1364,1222,142
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013523,Greenford Broadway,1599,1564,35
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013524,Hanger Hill,1821,1912,-91
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013525,Hanwell Broadway,1571,1609,-38
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013526,Lady Margaret,1247,1243,4
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013527,North Acton,1511,1390,121
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013528,North Greenford,1399,1437,-38
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013529,North Hanwell,1479,1543,-64
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013530,Northfield,1615,1800,-185
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013531,Northolt Mandeville,1664,1707,-43
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013532,Northolt West End,1247,1415,-168
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013533,Norwood Green,977,889,88
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013534,Perivale,1491,1545,-54
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013535,Pitshanger,1388,1478,-90
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013536,South Acton,1757,1327,430
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013537,Southall Broadway,580,488,92
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013538,Southall Green,833,812,21
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013539,Southall West,363,316,47
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013540,Southfield,2114,2029,85
Occupancy rating of bedrooms: +1,E09000009,Ealing,E05013541,Walpole,1624,1722,-98
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013542,Belmont,834,912,-78
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013543,Canons,930,1097,-167
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013544,Centenary,1245,1256,-11
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013545,Edgware,1269,1338,-69
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013546,Greenhill,1115,851,264
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013547,Harrow on the Hill,1099,1283,-184
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013548,Harrow Weald,1369,1537,-168
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013549,Hatch End,890,1046,-156
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013550,Headstone,1404,1413,-9
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013551,Kenton East,1196,1279,-83
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013552,Kenton West,825,830,-5
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013553,Marlborough,944,941,3
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013554,North Harrow,824,907,-83
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013555,Pinner,1419,1609,-190
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013556,Pinner South,1580,1806,-226
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013557,Rayners Lane,921,965,-44
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013558,Roxbourne,909,835,74
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013559,Roxeth,1382,1422,-40
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013560,Stanmore,1556,1680,-124
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013561,Wealdstone North,886,831,55
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013562,Wealdstone South,622,614,8
Occupancy rating of bedrooms: +1,E09000015,Harrow,E05013563,West Harrow,953,1019,-66
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013564,Belmore,1383,1402,-19
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013565,Charville,1095,1156,-61
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013566,Colham & Cowley,1825,1881,-56
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013567,Eastcote,2349,2423,-74
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013568,Harefield Village,781,733,48
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013569,Hayes Town,1094,861,233
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013570,Heathrow Villages,1031,1209,-178
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013571,Hillingdon East,1689,1760,-71
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013572,Hillingdon West,1082,778,304
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013573,Ickenham & South Harefield,1907,1876,31
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013574,Northwood,1320,1387,-67
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013575,Northwood Hills,1359,1577,-218
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013576,Pinkwell,1363,1345,18
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013577,Ruislip,1975,2080,-105
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013578,Ruislip Manor,1659,1801,-142
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013579,South Ruislip,2208,2233,-25
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013580,Uxbridge,1660,1716,-56
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013581,West Drayton,1828,1590,238
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013582,Wood End,1535,1468,67
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013583,Yeading,1238,1262,-24
Occupancy rating of bedrooms: +1,E09000017,Hillingdon,E05013584,Yiewsley,1085,922,163
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013585,Alexandra Park,876,1020,-144
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013586,Bounds Green,977,1002,-25
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013587,Bruce Castle,1029,969,60
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013588,Crouch End,1657,1722,-65
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013589,Fortis Green,1326,1388,-62
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013590,Harringay,1375,1219,156
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013591,Hermitage & Gardens,724,676,48
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013592,Highgate,1866,1790,76
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013593,Hornsey,1762,1575,187
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013594,Muswell Hill,994,958,36
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013595,Noel Park,1259,1205,54
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013596,Northumberland Park,1135,1076,59
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013597,St Ann's,948,915,33
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013598,Seven Sisters,771,800,-29
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013599,South Tottenham,1122,1044,78
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013600,Stroud Green,1395,1251,144
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013601,Tottenham Central,1328,1137,191
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013602,Tottenham Hale,931,572,359
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013603,West Green,1325,1251,74
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013604,White Hart Lane,1410,1228,182
Occupancy rating of bedrooms: +1,E09000014,Haringey,E05013605,Woodside,1408,1325,83
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013606,Bedfont,1406,1608,-202
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013607,Brentford East,895,750,145
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013608,Brentford West,957,986,-29
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013609,Chiswick Gunnersbury,1535,1647,-112
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013610,Chiswick Homefields,1683,1644,39
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013611,Chiswick Riverside,1258,1202,56
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013612,Cranford,1190,1115,75
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013613,Feltham North,1106,1243,-137
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013614,Feltham West,1466,1756,-290
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013615,Hanworth Park,1078,1176,-98
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013616,Hanworth Village,1520,1652,-132
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013617,Heston Central,994,1033,-39
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013618,Heston East,898,889,9
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013619,Heston West,1057,1068,-11
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013620,Hounslow Central,593,586,7
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013621,Hounslow East,658,583,75
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013622,Hounslow Heath,1108,1117,-9
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013623,Hounslow South,1482,1498,-16
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013624,Hounslow West,888,905,-17
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013625,Isleworth,1688,1703,-15
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013626,Osterley & Spring Grove,1356,1473,-117
Occupancy rating of bedrooms: +1,E09000018,Hounslow,E05013627,Syon & Brentford Lock,1487,1446,41
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013628,Barnet Vale,2152,2355,-203
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013629,Brunswick Park,1857,1920,-63
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013630,Burnt Oak,1795,1837,-42
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013631,Childs Hill,1851,1677,174
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013632,Colindale North,1004,794,210
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013633,Colindale South,1781,738,1043
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013634,Cricklewood,945,798,147
Occupancy rating of bedrooms: +1,E09000003,Barnet,E05013635,East Barnet,2146,2286,-140
