lad22cd,lad22nm,category,count_21
E09000017,Hillingdon,Main language is not English (English or Welsh in Wales): Cannot speak English,1739
E09000018,Hounslow,Main language is English (English or Welsh in Wales),198853
E09000018,Hounslow,Main language is not English (English or Welsh in Wales): Can speak English very well,36348
E09000018,Hounslow,Main language is not English (English or Welsh in Wales): Can speak English well,28032
E09000018,Hounslow,Main language is not English (English or Welsh in Wales): Cannot speak English well,11898
E09000018,Hounslow,Main language is not English (English or Welsh in Wales): Cannot speak English,2277
E09000019,Islington,Main language is English (English or Welsh in Wales),169831
E09000019,Islington,Main language is not English (English or Welsh in Wales): Can speak English very well,22659
E09000019,Islington,Main language is not English (English or Welsh in Wales): Can speak English well,10992
E09000019,Islington,Main language is not English (English or Welsh in Wales): Cannot speak English well,5286
E09000019,Islington,Main language is not English (English or Welsh in Wales): Cannot speak English,870
E09000020,Kensington and Chelsea,Main language is English (English or Welsh in Wales),106682
E09000020,Kensington and Chelsea,Main language is not English (English or Welsh in Wales): Can speak English very well,20887
E09000020,Kensington and Chelsea,Main language is not English (English or Welsh in Wales): Can speak English well,8669
E09000020,Kensington and Chelsea,Main language is not English (English or Welsh in Wales): Cannot speak English well,2998
E09000020,Kensington and Chelsea,Main language is not English (English or Welsh in Wales): Cannot speak English,412
E09000021,Kingston upon Thames,Main language is English (English or Welsh in Wales),134395
E09000021,Kingston upon Thames,Main language is not English (English or Welsh in Wales): Can speak English very well,14243
E09000021,Kingston upon Thames,Main language is not English (English or Welsh in Wales): Can speak English well,9451
E09000021,Kingston upon Thames,Main language is not English (English or Welsh in Wales): Cannot speak English well,3880
E09000021,Kingston upon Thames,Main language is not English (English or Welsh in Wales): Cannot speak English,533
E09000022,Lambeth,Main language is English (English or Welsh in Wales),253317
E09000022,Lambeth,Main language is not English (English or Welsh in Wales): Can speak English very well,25584
E09000022,Lambeth,Main language is not English (English or Welsh in Wales): Can speak English well,18080
E09000022,Lambeth,Main language is not English (English or Welsh in Wales): Cannot speak English well,9452
E09000022,Lambeth,Main language is not English (English or Welsh in Wales): Cannot speak English,1865
E09000023,Lewisham,Main language is English (English or Welsh in Wales),242028
E09000023,Lewisham,Main language is not English (English or Welsh in Wales): Can speak English very well,22055
E09000023,Lewisham,Main language is not English (English or Welsh in Wales): Can speak English well,15373
E09000023,Lewisham,Main language is not English (English or Welsh in Wales): Cannot speak English well,7987
E09000023,Lewisham,Main language is not English (English or Welsh in Wales): Cannot speak English,1450
E09000024,Merton,Main language is English (English or Welsh in Wales),162563
E09000024,Merton,Main language is not English (English or Welsh in Wales): Can speak English very well,20874
E09000024,Merton,Main language is not English (English or Welsh in Wales): Can speak English well,15867
E09000024,Merton,Main language is not English (English or Welsh in Wales): Cannot speak English well,6715
E09000024,Merton,Main language is not English (English or Welsh in Wales): Cannot speak English,948
E09000025,Newham,Main language is English (English or Welsh in Wales),220022
E09000025,Newham,Main language is not English (English or Welsh in Wales): Can speak English very well,43497
E09000025,Newham,Main language is not English (English or Welsh in Wales): Can speak English well,45802
E09000025,Newham,Main language is not English (English or Welsh in Wales): Cannot speak English well,23756
E09000025,Newham,Main language is not English (English or Welsh in Wales): Cannot speak English,3521
E09000026,Redbridge,Main language is English (English or Welsh in Wales),218924
E09000026,Redbridge,Main language is not English (English or Welsh in Wales): Can speak English very well,32968
E09000026,Redbridge,Main language is not English (English or Welsh in Wales): Can speak English well,30036
E09000026,Redbridge,Main language is not English (English or Welsh in Wales): Cannot speak English well,13705
E09000026,Redbridge,Main language is not English (English or Welsh in Wales): Cannot speak English,2004
E09000027,Richmond upon Thames,Main language is English (English or Welsh in Wales),167514
E09000027,Richmond upon Thames,Main language is not English (English or Welsh in Wales): Can speak English very well,13209
E09000027,Richmond upon Thames,Main language is not English (English or Welsh in Wales): Can speak English well,5731
E09000027,Richmond upon Thames,Main language is not English (English or Welsh in Wales): Cannot speak English well,2087
E09000027,Richmond upon Thames,Main language is not English (English or Welsh in Wales): Cannot speak English,347
E09000028,Southwark,Main language is English (English or Welsh in Wales),244002
E09000028,Southwark,Main language is not English (English or Welsh in Wales): Can speak English very well,27450
E09000028,Southwark,Main language is not English (English or Welsh in Wales): Can speak English well,16058
E09000028,Southwark,Main language is not English (English or Welsh in Wales): Cannot speak English well,8603
E09000028,Southwark,Main language is not English (English or Welsh in Wales): Cannot speak English,1616
E09000029,Sutton,Main language is English (English or Welsh in Wales),173379
E09000029,Sutton,Main language is not English (English or Welsh in Wales): Can speak English very well,15289
E09000029,Sutton,Main language is not English (English or Welsh in Wales): Can speak English well,9709
E09000029,Sutton,Main language is not English (English or Welsh in Wales): Cannot speak English well,3363
E09000029,Sutton,Main language is not English (English or Welsh in Wales): Cannot speak English,514
E09000030,Tower Hamlets,Main language is English (English or Welsh in Wales),218131
E09000030,Tower Hamlets,Main language is not English (English or Welsh in Wales): Can speak English very well,37285
E09000030,Tower Hamlets,Main language is not English (English or Welsh in Wales): Can speak English well,24671
E09000030,Tower Hamlets,Main language is not English (English or Welsh in Wales): Cannot speak English well,15566
E09000030,Tower Hamlets,Main language is not English (English or Welsh in Wales): Cannot speak English,3101
E09000031,Waltham Forest,Main language is English (English or Welsh in Wales),206863
