gss_code_ward,ward_name,category,count_21
E05014061,Gascoigne,Work mainly at or from home,1030
E05014061,Gascoigne,"Underground, metro, light rail, tram",911
E05014061,Gascoigne,Train,542
E05014061,Gascoigne,"Bus, minibus or coach",477
E05014061,Gascoigne,Taxi,13
E05014061,Gascoigne,"Motorcycle, scooter or moped",23
E05014061,Gascoigne,Driving a car or van,1086
E05014061,Gascoigne,Passenger in a car or van,76
E05014061,Gascoigne,Bicycle,68
E05014061,Gascoigne,On foot,251
E05014061,Gascoigne,Other method of travel to work,83
E05014061,Gascoigne,Not in employment or aged 15 years and under,6152
E05014062,Goresbrook,Work mainly at or from home,927
E05014062,Goresbrook,"Underground, metro, light rail, tram",1024
E05014062,Goresbrook,Train,554
E05014062,Goresbrook,"Bus, minibus or coach",537
E05014062,Goresbrook,Taxi,26
E05014062,Goresbrook,"Motorcycle, scooter or moped",51
E05014062,Goresbrook,Driving a car or van,2086
E05014062,Goresbrook,Passenger in a car or van,180
E05014062,Goresbrook,Bicycle,81
E05014062,Goresbrook,On foot,326
E05014062,Goresbrook,Other method of travel to work,83
E05014062,Goresbrook,Not in employment or aged 15 years and under,7790
E05014063,Heath,Work mainly at or from home,752
E05014063,Heath,"Underground, metro, light rail, tram",558
E05014063,Heath,Train,272
E05014063,Heath,"Bus, minibus or coach",511
E05014063,Heath,Taxi,34
E05014063,Heath,"Motorcycle, scooter or moped",26
E05014063,Heath,Driving a car or van,1325
E05014063,Heath,Passenger in a car or van,98
E05014063,Heath,Bicycle,56
E05014063,Heath,On foot,217
E05014063,Heath,Other method of travel to work,70
E05014063,Heath,Not in employment or aged 15 years and under,5204
E05014069,Valence,Work mainly at or from home,1128
E05014069,Valence,"Underground, metro, light rail, tram",723
E05014069,Valence,Train,553
E05014069,Valence,"Bus, minibus or coach",800
E05014069,Valence,Taxi,40
E05014069,Valence,"Motorcycle, scooter or moped",56
E05014069,Valence,Driving a car or van,2411
E05014069,Valence,Passenger in a car or van,188
E05014069,Valence,Bicycle,78
E05014069,Valence,On foot,358
E05014069,Valence,Other method of travel to work,113
E05014069,Valence,Not in employment or aged 15 years and under,8782
E05014064,Longbridge,Work mainly at or from home,1603
E05014064,Longbridge,"Underground, metro, light rail, tram",885
E05014064,Longbridge,Train,551
E05014064,Longbridge,"Bus, minibus or coach",399
E05014064,Longbridge,Taxi,45
E05014064,Longbridge,"Motorcycle, scooter or moped",16
E05014064,Longbridge,Driving a car or van,1796
E05014064,Longbridge,Passenger in a car or van,133
E05014064,Longbridge,Bicycle,68
E05014064,Longbridge,On foot,278
E05014064,Longbridge,Other method of travel to work,98
E05014064,Longbridge,Not in employment or aged 15 years and under,7429
E05014056,Beam,Work mainly at or from home,595
E05014056,Beam,"Underground, metro, light rail, tram",529
E05014056,Beam,Train,303
E05014056,Beam,"Bus, minibus or coach",406
E05014056,Beam,Taxi,15
E05014056,Beam,"Motorcycle, scooter or moped",22
