ward_gss_code,ward_name,la_gsscode,la_distric,simp_r_ind,simp_stand_ind,ent_ind,ent_ind_stand
E05009317,Bethnal Green,E09000030,Tower Hamlets,3.51821589065029,0.715765026626844,1.41654402866865,0.644696970569108
E05009318,Blackwall & Cubitt Town,E09000030,Tower Hamlets,3.96042925070738,0.747502117397656,1.56251140176667,0.711129584969855
E05009319,Bow East,E09000030,Tower Hamlets,3.42973218383385,0.708432044719546,1.4028897274059,0.638482630258341
E05009320,Bow West,E09000030,Tower Hamlets,3.59562813701129,0.721884476955059,1.43140971056058,0.651462633963403
E05009321,Bromley North,E09000030,Tower Hamlets,2.94000096458073,0.659864057172985,1.31705173924107,0.599416078277164
E05009322,Bromley South,E09000030,Tower Hamlets,2.80932739929526,0.644042912103852,1.29554342909519,0.589627224480545
E05009323,Canary Wharf,E09000030,Tower Hamlets,4.18841463784852,0.761246178694077,1.59400444781963,0.725462687911539
E05009324,Island Gardens,E09000030,Tower Hamlets,3.63906451181144,0.725204102110786,1.50228371933876,0.683718785432499
E05009325,Lansbury,E09000030,Tower Hamlets,2.93763391454883,0.659589986673481,1.28579562060747,0.58519080565096
E05009326,Limehouse,E09000030,Tower Hamlets,3.6414994720169,0.725387849789764,1.4868293017349,0.676685176868649
E05009327,Mile End,E09000030,Tower Hamlets,3.00189149197656,0.666876700016374,1.32589892418666,0.603442605668511
E05009328,Poplar,E09000030,Tower Hamlets,3.03267012995284,0.670257575948245,1.33925592670084,0.60952163948779
E05009329,St Dunstan's,E09000030,Tower Hamlets,2.62829560387221,0.619525292921115,1.24292053045038,0.565677511197884
E05009330,St Katharine's & Wapping,E09000030,Tower Hamlets,3.21744812987039,0.689194678628655,1.38249195765656,0.629199205177567
E05009331,St Peter's,E09000030,Tower Hamlets,3.50417601661556,0.714626207342795,1.40922192891649,0.641364539361264
E05009332,Shadwell,E09000030,Tower Hamlets,2.40617872087798,0.584403273404764,1.16850200991947,0.531808182910503
E05009333,Spitalfields & Banglatown,E09000030,Tower Hamlets,3.21597590479983,0.689052396658972,1.37288533020632,0.624827040607168
E05009334,Stepney Green,E09000030,Tower Hamlets,2.72670065373983,0.633256405088531,1.26398726959992,0.575265397373401
E05009335,Weavers,E09000030,Tower Hamlets,3.66312063345114,0.727008717412107,1.43170609154345,0.651597522761719
E05009336,Whitechapel,E09000030,Tower Hamlets,3.31905966021558,0.69870984484351,1.40986234826065,0.641656006765533
E05009367,Brownswood,E09000012,Hackney,3.36865489184302,0.70314560793347,1.44414203705142,0.657257365472495
E05009368,Cazenove,E09000012,Hackney,4.78890396818991,0.791183952185624,1.67023511675076,0.760156760478099
E05009369,Clissold,E09000012,Hackney,3.37848568716196,0.704009401667753,1.45271860817048,0.661160731203755
E05009370,Dalston,E09000012,Hackney,3.18521547382769,0.68604949705387,1.37877712849205,0.627508513564688
E05009371,De Beauvoir,E09000012,Hackney,3.17717630288554,0.685255111876609,1.384209866731,0.62998105929123
E05009372,Hackney Central,E09000012,Hackney,3.40673612146274,0.706463910221895,1.4475646568274,0.658815066861459
E05009373,Hackney Downs,E09000012,Hackney,3.64309195570924,0.725507889408924,1.47929026367356,0.673254012781415
E05009374,Hackney Wick,E09000012,Hackney,2.9454351317948,0.660491589441098,1.3371459663697,0.608561355157777
E05009375,Haggerston,E09000012,Hackney,3.41245559919324,0.706955894096786,1.41459817271484,0.643811373359845
E05009376,Homerton,E09000012,Hackney,3.24452433308224,0.691788411076573,1.41243817461616,0.642828315860416
E05009377,Hoxton East & Shoreditch,E09000012,Hackney,3.30606238154864,0.697525368673904,1.41374147658559,0.643421474148775
E05009378,Hoxton West,E09000012,Hackney,3.39068504137111,0.705074346983398,1.43662156385144,0.653834650617785
E05009379,King's Park,E09000012,Hackney,3.17728838161584,0.685266214490911,1.40028414913215,0.637296780481936
E05009380,Lea Bridge,E09000012,Hackney,3.78724519559313,0.735955833764445,1.5241292738565,0.693661125757234
E05009381,London Fields,E09000012,Hackney,3.38853256798508,0.704887003463381,1.41623038594349,0.644554225613317
E05009382,Shacklewell,E09000012,Hackney,3.57765966828364,0.720487667157077,1.47500603635645,0.671304176901505
E05009383,Springfield,E09000012,Hackney,4.28077862661621,0.766397637620784,1.59618496695947,0.726455084939284
E05009384,Stamford Hill West,E09000012,Hackney,4.00863749795613,0.750538680409524,1.55991872838945,0.709949608464967
E05009385,Stoke Newington,E09000012,Hackney,3.43711854348406,0.70905862356835,1.46461869020386,0.666576691937185
E05009386,Victoria,E09000012,Hackney,3.18175275138948,0.685707822657403,1.37473422386967,0.625668508376287
E05009387,Woodberry Down,E09000012,Hackney,3.80153218924524,0.736948169785578,1.55717584280065,0.708701267436429
E05009388,Abingdon,E09000020,Kensington and Chelsea,2.93431208058721,0.659204620184817,1.38043614241455,0.628263563339579
E05009389,Brompton & Hans Town,E09000020,Kensington and Chelsea,2.75873039223329,0.637514415031161,1.35174864906322,0.615207322458587
E05009390,Campden,E09000020,Kensington and Chelsea,2.73864214150351,0.63485554215163,1.34409423447334,0.611723648250304
E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,2.65552233010222,0.623426250773984,1.29233554979777,0.588167255695147
E05009392,Colville,E09000020,Kensington and Chelsea,3.08574183756243,0.67592881950554,1.3840847558009,0.629924118853101
E05009393,Courtfield,E09000020,Kensington and Chelsea,2.68204701198841,0.62715045801579,1.30631159429735,0.594528027663446
E05009394,Dalgarno,E09000020,Kensington and Chelsea,2.86538915924966,0.651007264834538,1.3080315919713,0.595310832339716
