OA21CD,LSOA21CD,MSOA21CD,LAD22CD,LAD22NM,WD22CD,WD22NM,area_of_OA_inside_ward
E00000003,E01000001,E02000001,E09000001,City of London,E05009288,Aldersgate,4186.97073
E00000010,E01000003,E02000001,E09000001,City of London,E05009302,Cripplegate,2530.082655
E00000010,E01000003,E02000001,E09000001,City of London,E05013699,Bunhill,2.968933776
E00000031,E01000005,E02000001,E09000001,City of London,E05009308,Portsoken,1791.646509
E00000198,E01000033,E02000007,E09000002,Barking and Dagenham,E05014059,Eastbrook & Rush Green,2851.624147
E00002570,E01000522,E02000117,E09000005,Brent,E05013501,Harlesden & Kensal Green,6039.646473
E00002570,E01000522,E02000117,E09000005,Brent,E05013509,Roundwood,1022.318859
E00002669,E01000551,E02000126,E09000005,Brent,E05013503,Kilburn,4952.598583
E00002678,E01000544,E02000126,E09000005,Brent,E05013503,Kilburn,4605.568367
E00002679,E01000552,E02000126,E09000005,Brent,E05013503,Kilburn,3945.304794
E00002680,E01000544,E02000126,E09000005,Brent,E05013503,Kilburn,6456.767846
E00002721,E01000561,E02000115,E09000005,Brent,E05013499,Cricklewood & Mapesbury,7248.863999
E00002736,E01000557,E02000107,E09000005,Brent,E05013499,Cricklewood & Mapesbury,3822.835181
E00003492,E01000718,E02000132,E09000006,Bromley,E05013987,Beckenham Town & Copers Cope,4356.101912
E00004135,E01000849,E02000176,E09000007,Camden,E05013652,Belsize,5735.285406
E00004159,E01000846,E02000179,E09000007,Camden,E05013667,Primrose Hill,2042.582938
E00004164,E01000846,E02000179,E09000007,Camden,E05013667,Primrose Hill,2016.598626
E00004165,E01000847,E02000179,E09000007,Camden,E05013667,Primrose Hill,1735.969332
E00004183,E01000853,E02007115,E09000007,Camden,E05013653,Bloomsbury,3738.119584
E00004184,E01035711,E02000191,E09000007,Camden,E05013653,Bloomsbury,5954.666313
E00004190,E01000855,E02000193,E09000007,Camden,E05013653,Bloomsbury,1281.088348
E00004196,E01000850,E02000191,E09000007,Camden,E05013653,Bloomsbury,3853.483312
E00004202,E01000860,E02000183,E09000007,Camden,E05013667,Primrose Hill,4587.478654
E00004371,E01000891,E02000172,E09000007,Camden,E05013658,Gospel Oak,4730.77703
E00004400,E01000890,E02000172,E09000007,Camden,E05013658,Gospel Oak,5006.667438
E00004428,E01000895,E02000167,E09000007,Camden,E05013659,Hampstead Town,7137.735799
E00004459,E01000905,E02000177,E09000007,Camden,E05013660,Haverstock,4747.957897
E00004537,E01000920,E02000192,E09000007,Camden,E05013662,Holborn & Covent Garden,6675.818987
E00004538,E01000917,E02000192,E09000007,Camden,E05013662,Holborn & Covent Garden,5357.370228
E00004555,E01000915,E02000192,E09000007,Camden,E05013662,Holborn & Covent Garden,4558.897972
E00004628,E01000935,E02000185,E09000007,Camden,E05013665,Kilburn,3141.80691
E00004628,E01000935,E02000185,E09000007,Camden,E05013670,South Hampstead,166.350976
E00004645,E01000930,E02000185,E09000007,Camden,E05013665,Kilburn,3624.706454
E00004667,E01000942,E02007115,E09000007,Camden,E05013653,Bloomsbury,4.491629686
E00004667,E01000942,E02007115,E09000007,Camden,E05013666,King's Cross,2549.707804
E00004713,E01000949,E02000188,E09000007,Camden,E05013668,Regent's Park,4347.022823
E00004720,E01000949,E02000188,E09000007,Camden,E05013668,Regent's Park,4035.340043
E00004728,E01000956,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,3650.825633
E00004730,E01000955,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,4369.075638
E00004760,E01000954,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,4989.946904
E00004765,E01035709,E02000187,E09000007,Camden,E05013669,St Pancras & Somers Town,8279.773602
E00004789,E01000960,E02000182,E09000007,Camden,E05013670,South Hampstead,4822.517885
E00005746,E01001155,E02000203,E09000008,Croydon,E05011464,Bensham Manor,1.389760401
E00005746,E01001155,E02000203,E09000008,Croydon,E05011486,Thornton Heath,6094.355502
E00007087,E01001427,E02000306,E09000010,Enfield,E05013679,Edmonton Green,5701.910357
E00007401,E01033151,E02000301,E09000010,Enfield,E05013685,Lower Edmonton,3335.118991
E00007594,E01001528,E02000308,E09000010,Enfield,E05013686,New Southgate,4810.915261
E00008437,E01001692,E02000313,E09000011,Greenwich,E05014090,Thamesmead Moorings,3575.148101
E00008470,E01001698,E02000327,E09000011,Greenwich,E05014093,Woolwich Common,7009.378646
E00008488,E01001701,E02000327,E09000011,Greenwich,E05014093,Woolwich Common,2602.731945
E00008505,E01001712,E02006994,E09000011,Greenwich,E05014094,Woolwich Dockyard,7097.191035
E00008540,E01035639,E02000346,E09000012,Hackney,E05009387,Woodberry Down,7380.101947
E00009831,E01001957,E02000373,E09000013,Hammersmith and Fulham,E05013752,White City,7283.041909
E00009740,E01001944,E02000375,E09000013,Hammersmith and Fulham,E05013748,Shepherd's Bush Green,5105.166757
E00009738,E01001944,E02000375,E09000013,Hammersmith and Fulham,E05013748,Shepherd's Bush Green,2424.972238
E00009667,E01001931,E02000382,E09000013,Hammersmith and Fulham,E05013746,Ravenscourt,1226.358745
E00009660,E01001930,E02000379,E09000013,Hammersmith and Fulham,E05013746,Ravenscourt,5837.328358
E00009569,E01001908,E02000386,E09000013,Hammersmith and Fulham,E05013751,West Kensington,7246.958497
E00009550,E01001914,E02000385,E09000013,Hammersmith and Fulham,E05013751,West Kensington,5327.816274
E00009410,E01001885,E02000386,E09000013,Hammersmith and Fulham,E05013738,Fulham Reach,32.9468017
E00009410,E01001885,E02000386,E09000013,Hammersmith and Fulham,E05013742,Lillie,3614.784065
E00009354,E01001867,E02000383,E09000013,Hammersmith and Fulham,E05013735,Brook Green,2493.011894
E00009328,E01001870,E02000383,E09000013,Hammersmith and Fulham,E05013734,Avonmore,5006.643498
E00009268,E01001852,E02000378,E09000013,Hammersmith and Fulham,E05013733,Addison,4736.950801
E00009268,E01001852,E02000378,E09000013,Hammersmith and Fulham,E05013735,Brook Green,1.431496866
E00009267,E01001854,E02000378,E09000013,Hammersmith and Fulham,E05013733,Addison,2096.136813
E00009264,E01001857,E02000378,E09000013,Hammersmith and Fulham,E05013733,Addison,3243.735224
E00009260,E01001857,E02000378,E09000013,Hammersmith and Fulham,E05013733,Addison,3974.083577
E00009260,E01001857,E02000378,E09000013,Hammersmith and Fulham,E05013748,Shepherd's Bush Green,137.9739351
E00009259,E01001857,E02000378,E09000013,Hammersmith and Fulham,E05013733,Addison,5595.599929
E00009259,E01001857,E02000378,E09000013,Hammersmith and Fulham,E05013748,Shepherd's Bush Green,238.6368591
E00009219,E01001850,E02000363,E09000012,Hackney,E05009374,Hackney Wick,6677.355397
E00009168,E01001841,E02000366,E09000012,Hackney,E05009386,Victoria,4075.236493
E00008936,E01001786,E02000357,E09000012,Hackney,E05009379,King's Park,2614.766362
E00008868,E01001784,E02007110,E09000012,Hackney,E05009377,Hoxton East & Shoreditch,5918.544916
E00008849,E01001776,E02000369,E09000012,Hackney,E05009375,Haggerston,6289.001993
E00008777,E01001757,E02000360,E09000012,Hackney,E05009372,Hackney Central,7432.955882
E00008774,E01001763,E02000364,E09000012,Hackney,E05009372,Hackney Central,5313.251233
E00008771,E01001763,E02000364,E09000012,Hackney,E05009370,Dalston,1.096984191
E00008771,E01001763,E02000364,E09000012,Hackney,E05009372,Hackney Central,6711.274529
E00008766,E01001761,E02000360,E09000012,Hackney,E05009372,Hackney Central,5060.181406
E00008740,E01035645,E02000369,E09000012,Hackney,E05009377,Hoxton East & Shoreditch,5656.277282
E00008716,E01001746,E02000360,E09000012,Hackney,E05009373,Hackney Downs,80.96453949
E00008716,E01001746,E02000360,E09000012,Hackney,E05009382,Shacklewell,5523.753899
E00174981,E01003556,E02000721,E09000025,Newham,E05013912,Forest Gate South,4424.327955
E00174962,E01034212,E02000747,E09000025,Newham,E05013923,Royal Victoria,2850.564154
E00174939,E01034151,E02006987,E09000008,Croydon,E05011468,Fairfield,2826.235858
E00174924,E01034140,E02000208,E09000008,Croydon,E05011465,Broad Green,5293.001686
E00174906,E01000299,E02000042,E09000003,Barnet,E05013648,West Finchley,2968.074702
E00174847,E01002698,E02000570,E09000019,Islington,E05013698,Barnsbury,7375.726229
E00174847,E01002698,E02000570,E09000019,Islington,E05013708,Laycock,87.72143855
E00174828,E01033493,E02000559,E09000019,Islington,E05013697,Arsenal,8243.792069
E00174812,E01002799,E02000571,E09000019,Islington,E05013710,St Mary's & St James',7345.824776
E00174808,E01035655,E02000573,E09000019,Islington,E05013711,St Peter's & Canalside,5930.994268
E00174806,E01002799,E02000571,E09000019,Islington,E05013710,St Mary's & St James',3659.639501
E00174759,E01033487,E02000564,E09000019,Islington,E05013706,Holloway,3428.204353
E00174759,E01033487,E02000564,E09000019,Islington,E05013708,Laycock,989.5156843
E00174749,E01002765,E02000568,E09000019,Islington,E05013708,Laycock,5139.762866
E00174717,E01000531,E02000125,E09000005,Brent,E05013507,Queens Park,4560.396687
E00174717,E01000531,E02000125,E09000005,Brent,E05013736,College Park & Old Oak,69.3445707
E00174680,E01035710,E02000188,E09000007,Camden,E05013668,Regent's Park,5851.531457
E00174673,E01000898,E02000173,E09000007,Camden,E05013658,Gospel Oak,5132.098101
E00174672,E01000898,E02000173,E09000007,Camden,E05013658,Gospel Oak,4801.102293
E00174666,E01000958,E02000184,E09000007,Camden,E05013669,St Pancras & Somers Town,2133.750032
E00174035,E01033322,E02000669,E09000023,Lewisham,E05013724,Hither Green,5928.407453
E00174027,E01033325,E02000660,E09000023,Lewisham,E05013716,Brockley,3481.882373
E00174027,E01033325,E02000660,E09000023,Lewisham,E05014081,Greenwich Park,10.92604744
E00174011,E01003209,E02000657,E09000023,Lewisham,E05013716,Brockley,6429.714635
E00174008,E01033325,E02000660,E09000023,Lewisham,E05013716,Brockley,5238.629337
E00174008,E01033325,E02000660,E09000023,Lewisham,E05014081,Greenwich Park,188.4005238
E00173948,E01003251,E02000654,E09000023,Lewisham,E05013719,Deptford,2994.10978
E00173948,E01003251,E02000654,E09000023,Lewisham,E05013721,Evelyn,3.625486827
E00173708,E01033320,E02000669,E09000023,Lewisham,E05013724,Hither Green,5711.253408
E00171542,E01033862,E02000620,E09000022,Lambeth,E05014117,Vauxhall,7315.22838
E00171534,E01003013,E02006801,E09000022,Lambeth,E05014118,Waterloo & South Bank,4222.536784
E00171102,E01034596,E02000455,E09000015,Harrow,E05013546,Greenhill,3707.047419
E00171079,E01033099,E02000926,E09000032,Wandsworth,E05014018,St Mary's,2627.878805
E00171068,E01004567,E02007084,E09000032,Wandsworth,E05014015,Nine Elms,16.59624791
E00171068,E01004567,E02007084,E09000032,Wandsworth,E05014019,Shaftesbury & Queenstown,2962.734353
E00171044,E01033098,E02007083,E09000032,Wandsworth,E05014010,Battersea Park,3079.898942
E00171043,E01033098,E02007083,E09000032,Wandsworth,E05014010,Battersea Park,5595.018617
E00171041,E01033132,E02007083,E09000032,Wandsworth,E05014010,Battersea Park,5100.270793
E00171041,E01033132,E02007083,E09000032,Wandsworth,E05014015,Nine Elms,2543.99403
E00171040,E01004545,E02000949,E09000032,Wandsworth,E05014025,Trinity,2342.969774
E00171038,E01004548,E02000951,E09000032,Wandsworth,E05014025,Trinity,2839.673814
E00170971,E01004545,E02000949,E09000032,Wandsworth,E05014025,Trinity,3604.594006
E00170928,E01004491,E02000953,E09000032,Wandsworth,E05014024,Tooting Broadway,0.547621675
E00170928,E01004491,E02000953,E09000032,Wandsworth,E05014027,Wandsworth Common,4248.020915
E00170913,E01004628,E02000944,E09000032,Wandsworth,E05014029,West Hill,4350.55093
E00170313,E01033945,E02000416,E09000014,Haringey,E05013593,Hornsey,1978.312266
E00168891,E01033030,E02000550,E09000018,Hounslow,E05013613,Feltham North,49.3453958
E00168891,E01033030,E02000550,E09000018,Hounslow,E05013614,Feltham West,2817.485382
E00168191,E01033082,E02006973,E09000018,Hounslow,E05013627,Syon & Brentford Lock,2703.632182
E00168183,E01033030,E02000550,E09000018,Hounslow,E05013614,Feltham West,2040.840658
E00168082,E01033873,E02000815,E09000028,Southwark,E05011098,Chaucer,6900.403517
E00168082,E01033873,E02000815,E09000028,Southwark,E05011107,North Walworth,247.77887
E00168082,E01033873,E02000815,E09000028,Southwark,E05011114,St George's,0.04635271
E00168020,E01004049,E02000833,E09000028,Southwark,E05011097,Champion Hill,6063.012204
E00167993,E01033869,E02000810,E09000028,Southwark,E05011106,North Bermondsey,6896.420589
E00167993,E01033869,E02000810,E09000028,Southwark,E05011116,South Bermondsey,7.329255314
E00167989,E01003938,E02000812,E09000028,Southwark,E05011098,Chaucer,3510.693068
E00167978,E01004019,E02000832,E09000028,Southwark,E05011111,Peckham Rye,6007.593584
E00167754,E01004012,E02000825,E09000028,Southwark,E05011110,Peckham,3587.13671
E00167754,E01004012,E02000825,E09000028,Southwark,E05011115,St Giles,3.207469442
E00167751,E01032640,E02006941,E09000028,Southwark,E05011106,North Bermondsey,1746.08884
E00167688,E01032640,E02006941,E09000028,Southwark,E05011106,North Bermondsey,3267.938637
E00167685,E01004067,E02000828,E09000028,Southwark,E05011113,Rye Lane,3830.955338
E00167492,E01032639,E02000820,E09000028,Southwark,E05011105,Newington,5162.882239
E00167489,E01004060,E02000814,E09000028,Southwark,E05011117,Surrey Docks,6492.555284
E00167483,E01032637,E02006941,E09000028,Southwark,E05011104,London Bridge & West Bermondsey,13.35927514
E00167483,E01032637,E02006941,E09000028,Southwark,E05011106,North Bermondsey,6052.052133
E00167479,E01032639,E02000820,E09000028,Southwark,E05011105,Newington,0.211178359
E00167479,E01032639,E02000820,E09000028,Southwark,E05011107,North Walworth,4631.421249
E00167277,E01032789,E02000394,E09000013,Hammersmith and Fulham,E05013747,Sands End,3754.368684
E00167270,E01032789,E02000394,E09000013,Hammersmith and Fulham,E05013747,Sands End,2394.373234
E00167269,E01032789,E02000394,E09000013,Hammersmith and Fulham,E05013747,Sands End,3249.969511
E00167263,E01032784,E02000867,E09000030,Tower Hamlets,E05009319,Bow East,1581.495152
E00167253,E01035680,E02000882,E09000030,Tower Hamlets,E05009329,St Dunstan's,5878.232572
E00167250,E01032782,E02006854,E09000030,Tower Hamlets,E05009323,Canary Wharf,4563.283012
E00167248,E01032782,E02006854,E09000030,Tower Hamlets,E05009323,Canary Wharf,3979.86593
E00167247,E01004222,E02000864,E09000030,Tower Hamlets,E05009319,Bow East,5302.763225
E00167247,E01004222,E02000864,E09000030,Tower Hamlets,E05009320,Bow West,2.589593737
E00167226,E01004302,E02000888,E09000030,Tower Hamlets,E05009332,Shadwell,3486.473119
E00167224,E01004303,E02000888,E09000030,Tower Hamlets,E05009332,Shadwell,4290.25939
E00167218,E01035667,E02000871,E09000030,Tower Hamlets,E05009322,Bromley South,6280.696174
E00167210,E01032785,E02000873,E09000030,Tower Hamlets,E05009317,Bethnal Green,1484.951305
E00167183,E01004280,E02006853,E09000030,Tower Hamlets,E05009323,Canary Wharf,2118.552588
E00167182,E01032782,E02006854,E09000030,Tower Hamlets,E05009323,Canary Wharf,3145.340182
E00167164,E01032770,E02006853,E09000030,Tower Hamlets,E05009323,Canary Wharf,2065.319792
E00167162,E01032775,E02000894,E09000030,Tower Hamlets,E05009324,Island Gardens,4121.987604
E00167148,E01032776,E02007112,E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3188.498918
E00167147,E01032779,E02007113,E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3851.822874
E00167125,E01032777,E02007113,E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3371.572459
E00167111,E01035704,E02007114,E09000030,Tower Hamlets,E05009318,Blackwall & Cubitt Town,3151.122488
E00167107,E01032768,E02000888,E09000030,Tower Hamlets,E05009326,Limehouse,2774.652329
E00167103,E01032768,E02000888,E09000030,Tower Hamlets,E05009326,Limehouse,4432.603227
E00167098,E01032767,E02000884,E09000030,Tower Hamlets,E05009336,Whitechapel,2816.804598
E00166832,E01034579,E02000689,E09000024,Merton,E05013826,Wandle,35.09386584
E00166832,E01034579,E02000689,E09000024,Merton,E05013828,Wimbledon Park,3548.53498
E00166831,E01034579,E02000689,E09000024,Merton,E05013826,Wandle,115.4262629
E00166831,E01034579,E02000689,E09000024,Merton,E05013828,Wimbledon Park,7010.410797
E00166635,E01033868,E02000808,E09000028,Southwark,E05011095,Borough & Bankside,2750.863467
E00024106,E01004757,E02000969,E09000033,Westminster,E05013809,Westbourne,2131.557375
E00024099,E01004754,E02000969,E09000033,Westminster,E05013809,Westbourne,5150.50047
E00024071,E01004751,E02000981,E09000033,Westminster,E05013802,Pimlico North,4449.804627
E00024071,E01004751,E02000981,E09000033,Westminster,E05013803,Pimlico South,1900.846902
E00024069,E01004752,E02000981,E09000033,Westminster,E05013802,Pimlico North,2697.428438
E00024066,E01004752,E02000981,E09000033,Westminster,E05013802,Pimlico North,3082.472608
E00024062,E01004752,E02000981,E09000033,Westminster,E05013802,Pimlico North,3242.795369
E00024045,E01004752,E02000981,E09000033,Westminster,E05013802,Pimlico North,6971.911207
E00024045,E01004752,E02000981,E09000033,Westminster,E05013803,Pimlico South,0.348170671
E00024039,E01004752,E02000981,E09000033,Westminster,E05013802,Pimlico North,5838.182648
E00024038,E01004753,E02000981,E09000033,Westminster,E05013802,Pimlico North,2339.83575
E00024038,E01004753,E02000981,E09000033,Westminster,E05013803,Pimlico South,3591.500398
E00024037,E01004752,E02000981,E09000033,Westminster,E05013802,Pimlico North,3078.752164
E00024018,E01004746,E02000980,E09000033,Westminster,E05013807,Vincent Square,4194.060521
E00024017,E01004746,E02000980,E09000033,Westminster,E05013807,Vincent Square,3220.091712
E00024016,E01004743,E02000980,E09000033,Westminster,E05013807,Vincent Square,3367.851143
E00024012,E01004746,E02000980,E09000033,Westminster,E05013807,Vincent Square,3199.556757
E00024011,E01004743,E02000980,E09000033,Westminster,E05013807,Vincent Square,6153.970468
E00024010,E01004743,E02000980,E09000033,Westminster,E05013807,Vincent Square,5223.948461
E00023996,E01004742,E02000981,E09000033,Westminster,E05013802,Pimlico North,5949.905741
E00023994,E01004741,E02000983,E09000033,Westminster,E05013802,Pimlico North,6184.905839
E00023994,E01004741,E02000983,E09000033,Westminster,E05013807,Vincent Square,58.24445679
E00023992,E01004740,E02000980,E09000033,Westminster,E05013802,Pimlico North,6519.683611
E00023988,E01004740,E02000980,E09000033,Westminster,E05013802,Pimlico North,5096.49492
E00023987,E01004740,E02000980,E09000033,Westminster,E05013802,Pimlico North,3729.079327
E00023986,E01004740,E02000980,E09000033,Westminster,E05013802,Pimlico North,6235.027711
E00023980,E01004737,E02000983,E09000033,Westminster,E05013803,Pimlico South,4342.77268
E00023979,E01035722,E02000983,E09000033,Westminster,E05013803,Pimlico South,3455.858996
E00023978,E01004737,E02000983,E09000033,Westminster,E05013803,Pimlico South,4344.052988
E00023977,E01035722,E02000983,E09000033,Westminster,E05013803,Pimlico South,3476.196077
E00023971,E01004741,E02000983,E09000033,Westminster,E05013803,Pimlico South,4719.671013
E00023969,E01004742,E02000981,E09000033,Westminster,E05013802,Pimlico North,5766.721076
E00023969,E01004742,E02000981,E09000033,Westminster,E05013803,Pimlico South,122.9677522
E00023944,E01004732,E02000979,E09000033,Westminster,E05013806,St James's,5575.625637
E00023911,E01004729,E02000962,E09000033,Westminster,E05013792,Abbey Road,6119.615981
E00023911,E01004729,E02000962,E09000033,Westminster,E05013799,Little Venice,200.5659917
E00023908,E01004729,E02000962,E09000033,Westminster,E05013792,Abbey Road,3763.561814
E00023907,E01004728,E02000962,E09000033,Westminster,E05013792,Abbey Road,4779.029454
E00023907,E01004728,E02000962,E09000033,Westminster,E05013805,Regent's Park,0.016974375
E00023906,E01004729,E02000962,E09000033,Westminster,E05013792,Abbey Road,3181.596336
E00023901,E01004729,E02000962,E09000033,Westminster,E05013792,Abbey Road,3610.950704
E00023847,E01004716,E02000970,E09000033,Westminster,E05013805,Regent's Park,3044.494818
E00023812,E01004715,E02000972,E09000033,Westminster,E05013808,West End,3261.997289
E00023794,E01004711,E02000961,E09000033,Westminster,E05013800,Maida Vale,6025.694432
E00023788,E01004711,E02000961,E09000033,Westminster,E05013800,Maida Vale,5808.396967
E00023768,E01035715,E02000966,E09000033,Westminster,E05013799,Little Venice,4448.479162
E00023730,E01004698,E02000976,E09000033,Westminster,E05013798,Lancaster Gate,4283.424676
E00023717,E01004697,E02000975,E09000033,Westminster,E05013798,Lancaster Gate,3310.140587
E00023705,E01004696,E02000976,E09000033,Westminster,E05013798,Lancaster Gate,1099.490338
E00023701,E01004695,E02000976,E09000033,Westminster,E05013798,Lancaster Gate,3033.051246
E00023638,E01004682,E02000975,E09000033,Westminster,E05013798,Lancaster Gate,4852.135448
E00023562,E01035721,E02000982,E09000033,Westminster,E05009403,Royal Hospital,2.10189516
E00023562,E01035721,E02000982,E09000033,Westminster,E05013797,Knightsbridge & Belgravia,3718.435909
E00023552,E01004669,E02000983,E09000033,Westminster,E05013803,Pimlico South,5972.763657
E00023549,E01004665,E02000983,E09000033,Westminster,E05013803,Pimlico South,3438.336765
E00023542,E01004669,E02000983,E09000033,Westminster,E05013803,Pimlico South,5213.475398
E00023521,E01004660,E02000967,E09000033,Westminster,E05013805,Regent's Park,7921.0707
E00023511,E01004659,E02000967,E09000033,Westminster,E05013805,Regent's Park,1442.517272
E00023485,E01004656,E02000973,E09000033,Westminster,E05013793,Bayswater,2706.273915
E00023474,E01004652,E02000976,E09000033,Westminster,E05013793,Bayswater,1682.887002
E00023469,E01004652,E02000976,E09000033,Westminster,E05013793,Bayswater,4224.687822
E00023430,E01004650,E02000961,E09000033,Westminster,E05013792,Abbey Road,2495.657255
E00023421,E01004651,E02000962,E09000033,Westminster,E05013792,Abbey Road,5531.027349
E00023416,E01004651,E02000962,E09000033,Westminster,E05013792,Abbey Road,3088.101418
E00023414,E01004651,E02000962,E09000033,Westminster,E05013792,Abbey Road,3406.603692
E00023401,E01004640,E02000933,E09000032,Wandsworth,E05014030,West Putney,6206.213701
E00023151,E01035495,E02000940,E09000032,Wandsworth,E05014028,Wandsworth Town,5564.108962
E00023062,E01004584,E02000925,E09000032,Wandsworth,E05014010,Battersea Park,5385.713771
E00023061,E01004583,E02000923,E09000032,Wandsworth,E05014018,St Mary's,5070.319427
E00022994,E01033100,E02007084,E09000032,Wandsworth,E05014010,Battersea Park,2645.914462
E00022953,E01004563,E02007084,E09000032,Wandsworth,E05014010,Battersea Park,6214.557157
E00022847,E01004539,E02000925,E09000032,Wandsworth,E05014010,Battersea Park,2395.684812
E00022826,E01004535,E02000929,E09000032,Wandsworth,E05014012,Falconbrook,4088.795468
E00022515,E01004476,E02000943,E09000032,Wandsworth,E05014009,Balham,4092.687007
E00021791,E01004333,E02000918,E09000031,Waltham Forest,E05013882,Cann Hall,3996.398564
E00021756,E01004322,E02000880,E09000030,Tower Hamlets,E05009334,Stepney Green,4922.370756
E00021726,E01035664,E02000869,E09000030,Tower Hamlets,E05009335,Weavers,3203.337806
E00021719,E01004316,E02000872,E09000030,Tower Hamlets,E05009335,Weavers,5349.41422
E00021717,E01004316,E02000872,E09000030,Tower Hamlets,E05009335,Weavers,6497.83579
E00021679,E01004308,E02000878,E09000030,Tower Hamlets,E05009333,Spitalfields & Banglatown,5238.653322
E00021663,E01004298,E02000885,E09000030,Tower Hamlets,E05009332,Shadwell,1693.296938
E00021618,E01004295,E02000889,E09000030,Tower Hamlets,E05009336,Whitechapel,3431.800692
E00021613,E01004291,E02000890,E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,6299.134893
E00021608,E01004293,E02000890,E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,5488.81131
E00021603,E01004297,E02000890,E09000030,Tower Hamlets,E05009330,St Katharine's & Wapping,3472.543928
E00021577,E01004283,E02000879,E09000030,Tower Hamlets,E05009329,St Dunstan's,101.2804817
E00021577,E01004283,E02000879,E09000030,Tower Hamlets,E05009334,Stepney Green,4963.54386
E00021552,E01004280,E02006853,E09000030,Tower Hamlets,E05009323,Canary Wharf,7219.96167
E00021543,E01004277,E02006854,E09000030,Tower Hamlets,E05009323,Canary Wharf,2310.007137
E00021539,E01004276,E02000894,E09000030,Tower Hamlets,E05009324,Island Gardens,5575.53273
E00021504,E01004268,E02000875,E09000030,Tower Hamlets,E05009321,Bromley North,3518.638713
E00021503,E01004268,E02000875,E09000030,Tower Hamlets,E05009321,Bromley North,3782.852096
E00021489,E01004271,E02000877,E09000030,Tower Hamlets,E05009327,Mile End,7430.460767
E00021418,E01035691,E02000886,E09000030,Tower Hamlets,E05009326,Limehouse,7748.214089
E00021347,E01035672,E02000875,E09000030,Tower Hamlets,E05009322,Bromley South,7425.312146
E00021342,E01004240,E02000875,E09000030,Tower Hamlets,E05009322,Bromley South,2481.82027
E00021289,E01004226,E02000864,E09000030,Tower Hamlets,E05009319,Bow East,2361.547543
E00021235,E01004219,E02007113,E09000030,Tower Hamlets,E05009328,Poplar,1776.284621
E00021199,E01004209,E02000874,E09000030,Tower Hamlets,E05009317,Bethnal Green,3018.385622
E00021196,E01032787,E02000874,E09000030,Tower Hamlets,E05009317,Bethnal Green,5051.138779
E00021164,E01004204,E02000868,E09000030,Tower Hamlets,E05009331,St Peter's,3015.584006
E00020926,E01004153,E02000860,E09000029,Sutton,E05013755,Belmont,68.68318784
E00020926,E01004153,E02000860,E09000029,Sutton,E05013767,Sutton South,5739.392251
E00020387,E01004051,E02000833,E09000028,Southwark,E05011097,Champion Hill,5666.27806
E00020328,E01004036,E02000813,E09000028,Southwark,E05011112,Rotherhithe,7655.333439
E00020328,E01004036,E02000813,E09000028,Southwark,E05013728,New Cross Gate,0.119945177
E00020267,E01032637,E02006941,E09000028,Southwark,E05011106,North Bermondsey,2621.863744
E00020262,E01032640,E02006941,E09000028,Southwark,E05011106,North Bermondsey,4952.103712
E00020116,E01003999,E02000820,E09000028,Southwark,E05011105,Newington,7862.199354
E00020103,E01003995,E02000820,E09000028,Southwark,E05011105,Newington,4600.280672
E00020103,E01003995,E02000820,E09000028,Southwark,E05014105,Kennington,1.348842697
E00020041,E01032803,E02006942,E09000028,Southwark,E05011104,London Bridge & West Bermondsey,3517.386495
E00020032,E01003980,E02000819,E09000028,Southwark,E05011107,North Walworth,4.193333053
E00020032,E01003980,E02000819,E09000028,Southwark,E05011116,South Bermondsey,6447.504094
E00020031,E01003980,E02000819,E09000028,Southwark,E05011104,London Bridge & West Bermondsey,139.4953168
E00020031,E01003980,E02000819,E09000028,Southwark,E05011107,North Walworth,1.167505796
E00020031,E01003980,E02000819,E09000028,Southwark,E05011116,South Bermondsey,7575.462737
E00019989,E01033881,E02000822,E09000028,Southwark,E05011102,Faraday,4532.286645
E00019977,E01033879,E02000821,E09000028,Southwark,E05011102,Faraday,6711.11421
E00019976,E01033879,E02000821,E09000028,Southwark,E05011102,Faraday,2805.275896
E00019848,E01003939,E02000808,E09000028,Southwark,E05011098,Chaucer,2606.916821
E00019834,E01033873,E02000815,E09000028,Southwark,E05011098,Chaucer,3889.546759
E00019778,E01003934,E02000808,E09000028,Southwark,E05011095,Borough & Bankside,5872.532076
E00019759,E01003926,E02000827,E09000028,Southwark,E05011105,Newington,6618.720367
E00019746,E01003921,E02000827,E09000028,Southwark,E05011096,Camberwell Green,4572.917199
E00019729,E01003920,E02000827,E09000028,Southwark,E05011096,Camberwell Green,5260.221628
E00019512,E01003873,E02000789,E09000027,Richmond upon Thames,E05013786,South Richmond,5110.490575
E00019319,E01003841,E02000796,E09000027,Richmond upon Thames,E05013622,Hounslow Heath,1.124094054
E00019319,E01003841,E02000796,E09000027,Richmond upon Thames,E05013781,Heathfield,3253.369647
E00018896,E01003761,E02000759,E09000026,Redbridge,E05011238,Churchfields,7372.28933
