orig_names_21,plot_name_21,orig_names,plot_name
0 people in household,0,,
1 person in household,1,1 person in household,1
2 people in household,2,2 people in household,2
3 people in household,3,3 people in household,3
4 people in household,4,4 people in household,4
5 people in household,5,5 people in household,5
6 people in household,6,6 people in household,6
7 people in household,7,7 people in household,7
8 or more people in household,8+,8 or more people in household,8+
