orig_names_21,plot_name_21,orig_names,plot_name
Occupancy rating of bedrooms: +2 or more,+2 or more,Occupancy rating of bedrooms: +2 or more,+2 or more
Occupancy rating of bedrooms: +1,+1,Occupancy rating of bedrooms: +1,+1
Occupancy rating of bedrooms: 0,0,Occupancy rating of bedrooms: 0,0
Occupancy rating of bedrooms: -1,-1,Occupancy rating of bedrooms: -1,-1
Occupancy rating of bedrooms: -2 or less,-2 or less,Occupancy rating of bedrooms: -2 or less,-2 or less
