orig_names_21,plot_name_21,orig_names,plot_name
Owned: Owns outright,Owns outright,Owned: Owns outright,Owns outright
Owned: Owns with a mortgage or loan,Owns with a mortgage or loan,Owned: Owns with a mortgage or loan,Owns with a mortgage or loan
Shared ownership: Shared ownership,Shared ownership,Shared ownership: Shared ownership,Shared ownership
Social rented: Rents from council or Local Authority,Rents from council or Local Authority,Social rented: Rents from council or Local Authority,Rents from council or Local Authority
Social rented: Other social rented,Other social rented,Social rented: Other social rented,Other social rented
Private rented: Private landlord or letting agency,Private landlord or letting agency,Private rented: Private landlord or letting agency,Private landlord or letting agency
Private rented: Other private rented,Other private rented,Private rented: Other private rented,Other private rented
Lives rent free,Lives rent free,Lives rent free,Lives rent free
