orig_names_21,plot_name_21,orig_names,plot_name
Unshared dwelling: Detached whole house or bungalow,Detached house or bungalow,Unshared dwelling: Detached whole house or bungalow,Detached house or bungalow
Unshared dwelling: Semi-detached house or bungalow,Semi-detached house or bungalow,Unshared dwelling: Semi-detached house or bungalow,Semi-detached house or bungalow
Unshared dwelling: Terraced,Terraced,Unshared dwelling: Terraced,Terraced
Unshared dwelling: In a purpose-built block of flats or tenement,Purpose-built flat or tenement,Unshared dwelling: In a purpose-built block of flats or tenement,Purpose-built flat or tenement
"Unshared dwelling: Part of a converted or shared house, including bedsits",Part of converted house,Unshared dwelling: Part of a converted or shared house or building,Part of converted house or other building
"Unshared dwelling: Part of another converted building, for example, former school, church or warehouse",Part of converted building,Unshared dwelling: Part of a converted or shared house or building,Part of converted house or other building
"Unshared dwelling: In a commercial building, for example, in an office building, hotel or over a shop",Commercial building,"Unshared dwelling: In a commercial building, for example, in an office building, hotel or over a shop",Commercial building
Unshared dwelling: A caravan or other mobile or temporary structure,Caravan or other mobile/temporary structure,Unshared dwelling: A caravan or other mobile or temporary structure,Caravan or other mobile/temporary structure
Shared dwelling,Shared dwelling,Shared dwelling,Shared dwelling
