dat_21,num_dat_21,dat_11,common_cats
"L1, L2 and L3: Higher managerial, administrative and professional occupations",1,"1. Higher managerial, administrative and professional occupations","L1, L2 and L3: Higher managerial, administrative and professional occupations"
"L4, L5 and L6: Lower managerial, administrative and professional occupations",2,"2. Lower managerial, administrative and professional occupations","L4, L5 and L6: Lower managerial, administrative and professional occupations"
L7: Intermediate occupations,3,3. Intermediate occupations,L7: Intermediate occupations
L8 and L9: Small employers and own account workers,4,4. Small employers and own account workers,L8 and L9: Small employers and own account workers
L10 and L11: Lower supervisory and technical occupations,5,5. Lower supervisory and technical occupations,L10 and L11: Lower supervisory and technical occupations
L12: Semi-routine occupations,6,6. Semi-routine occupations,L12: Semi-routine occupations
L13: Routine occupations,7,7. Routine occupations,L13: Routine occupations
L14.1 and L14.2: Never worked and long-term unemployed,8,8. Never worked and long-term unemployed,L14.1 and L14.2: Never worked and long-term unemployed
L15: Full-time students,9,Not classified,L15: Full-time students
