gss_code_ward,ward_name,la_gss_code,la_name,category,count_21,count_11,change
E05009323,Canary Wharf,E09000030,Tower Hamlets,Driving a car or van,637,625,12
E05009323,Canary Wharf,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",41,31,10
E05009323,Canary Wharf,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,7317,3063,4254
E05009323,Canary Wharf,E09000030,Tower Hamlets,On foot,797,2102,-1305
E05009323,Canary Wharf,E09000030,Tower Hamlets,Other method of travel to work,98,93,5
E05009323,Canary Wharf,E09000030,Tower Hamlets,Passenger in a car or van,28,44,-16
E05009323,Canary Wharf,E09000030,Tower Hamlets,Taxi,40,33,7
E05009323,Canary Wharf,E09000030,Tower Hamlets,Train,335,317,18
E05009323,Canary Wharf,E09000030,Tower Hamlets,"Underground, metro, light rail, tram",1409,3468,-2059
E05009323,Canary Wharf,E09000030,Tower Hamlets,Work mainly at or from home,6749,295,6454
E05009324,Island Gardens,E09000030,Tower Hamlets,Bicycle,228,310,-82
E05009324,Island Gardens,E09000030,Tower Hamlets,"Bus, minibus or coach",345,982,-637
E05009324,Island Gardens,E09000030,Tower Hamlets,Driving a car or van,811,978,-167
E05009324,Island Gardens,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",39,74,-35
E05009324,Island Gardens,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,6876,3148,3728
E05009324,Island Gardens,E09000030,Tower Hamlets,On foot,435,737,-302
E05009324,Island Gardens,E09000030,Tower Hamlets,Other method of travel to work,93,170,-77
E05009324,Island Gardens,E09000030,Tower Hamlets,Passenger in a car or van,57,66,-9
E05009324,Island Gardens,E09000030,Tower Hamlets,Taxi,36,35,1
E05009324,Island Gardens,E09000030,Tower Hamlets,Train,331,380,-49
E05009324,Island Gardens,E09000030,Tower Hamlets,"Underground, metro, light rail, tram",1183,3791,-2608
E05009324,Island Gardens,E09000030,Tower Hamlets,Work mainly at or from home,4466,321,4145
E05009325,Lansbury,E09000030,Tower Hamlets,Bicycle,382,168,214
E05009325,Lansbury,E09000030,Tower Hamlets,"Bus, minibus or coach",739,861,-122
E05009325,Lansbury,E09000030,Tower Hamlets,Driving a car or van,1088,939,149
E05009325,Lansbury,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",57,30,27
E05009325,Lansbury,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,12318,5038,7280
E05009325,Lansbury,E09000030,Tower Hamlets,On foot,649,652,-3
E05009325,Lansbury,E09000030,Tower Hamlets,Other method of travel to work,101,28,73
E05009325,Lansbury,E09000030,Tower Hamlets,Passenger in a car or van,91,77,14
E05009325,Lansbury,E09000030,Tower Hamlets,Taxi,67,36,31
E05009325,Lansbury,E09000030,Tower Hamlets,Train,589,424,165
E05009325,Lansbury,E09000030,Tower Hamlets,"Underground, metro, light rail, tram",1650,1850,-200
E05009325,Lansbury,E09000030,Tower Hamlets,Work mainly at or from home,3987,178,3809
E05009326,Limehouse,E09000030,Tower Hamlets,Bicycle,158,202,-44
E05009326,Limehouse,E09000030,Tower Hamlets,"Bus, minibus or coach",159,252,-93
E05009326,Limehouse,E09000030,Tower Hamlets,Driving a car or van,214,314,-100
E05009326,Limehouse,E09000030,Tower Hamlets,"Motorcycle, scooter or moped",17,28,-11
E05009326,Limehouse,E09000030,Tower Hamlets,Not in employment or aged 15 years and under,2483,1346,1137
E05009326,Limehouse,E09000030,Tower Hamlets,On foot,279,766,-487
E05009326,Limehouse,E09000030,Tower Hamlets,Other method of travel to work,57,49,8
E05009326,Limehouse,E09000030,Tower Hamlets,Passenger in a car or van,18,25,-7
