lad22cd,category,count_21,count_11,change
E09000012,On foot,12698,14054,-1356
E09000012,Other method of travel to work,1401,858,543
E09000012,Passenger in a car or van,851,914,-63
E09000012,Taxi,962,551,411
E09000012,Train,4991,8667,-3676
E09000012,"Underground, metro, light rail, tram",10239,23424,-13185
E09000012,Work mainly at or from home,66844,6485,60359
E09000013,Bicycle,4915,7420,-2505
E09000013,"Bus, minibus or coach",7504,13802,-6298
E09000013,Driving a car or van,7781,12002,-4221
E09000013,"Motorcycle, scooter or moped",994,2173,-1179
E09000013,Not in employment or aged 15 years and under,85064,45934,39130
E09000013,On foot,9439,12783,-3344
E09000013,Other method of travel to work,1078,754,324
E09000013,Passenger in a car or van,514,710,-196
E09000013,Taxi,595,414,181
E09000013,Train,2376,4466,-2090
E09000013,"Underground, metro, light rail, tram",11578,38996,-27418
E09000013,Work mainly at or from home,51319,6098,45221
E09000014,Bicycle,5226,6142,-916
E09000014,"Bus, minibus or coach",15341,21738,-6397
E09000014,Driving a car or van,18436,23023,-4587
E09000014,"Motorcycle, scooter or moped",1107,1609,-502
E09000014,Not in employment or aged 15 years and under,129857,68766,61091
E09000014,On foot,7920,7909,11
E09000014,Other method of travel to work,1599,773,826
E09000014,Passenger in a car or van,1457,1360,97
E09000014,Taxi,626,290,336
E09000014,Train,5273,9158,-3885
E09000014,"Underground, metro, light rail, tram",21629,45384,-23755
E09000014,Work mainly at or from home,55767,6910,48857
E09000015,Bicycle,915,901,14
E09000015,"Bus, minibus or coach",8673,10274,-1601
E09000015,Driving a car or van,37918,48077,-10159
E09000015,"Motorcycle, scooter or moped",590,607,-17
E09000015,Not in employment or aged 15 years and under,136166,60851,75315
E09000015,On foot,6146,7479,-1333
E09000015,Other method of travel to work,1555,601,954
E09000015,Passenger in a car or van,3223,2814,409
E09000015,Taxi,516,398,118
E09000015,Train,4721,7836,-3115
E09000015,"Underground, metro, light rail, tram",15605,28870,-13265
E09000015,Work mainly at or from home,45175,6043,39132
E09000016,Bicycle,848,1020,-172
E09000016,"Bus, minibus or coach",6949,8711,-1762
E09000016,Driving a car or van,45890,54368,-8478
E09000016,"Motorcycle, scooter or moped",609,1016,-407
E09000016,Not in employment or aged 15 years and under,137271,58282,78989
E09000016,On foot,6101,7080,-979
E09000016,Other method of travel to work,1550,645,905
E09000016,Passenger in a car or van,3357,3642,-285
